,titulo,autor,disp,editora 
81,Princípios do Estrategista,Felipe Miranda,/DISPONIVEL,Intrínseca 
82,Nada Ortodoxa,Deborah Feldman,/DISPONIVEL,Intrínseca 
83,Alexander Hamilton, Ron Chernow ,/DISPONIVEL,Intrínseca 
84,Box Five Nights at Freddys (Trilogia Completa),Scott Cawthon,/DISPONIVEL,Intrínseca 
85,BOX NÃO SE APEGA; NÃO,ISABELA FREITAS,/DISPONIVEL,Intrínseca 
86,Não é errado ser feliz,Linda Holmes,/DISPONIVEL,Intrínseca 
87,Não é errado ser feliz,Linda Holmes,/DISPONIVEL,Intrínseca 
88,A Segunda Vida de Missy,Beth Morrey,/DISPONIVEL,Intrínseca 
89,Quarenta e Quatro em Quarentena,Miguel Pinto Guimarães,/DISPONIVEL,Intrínseca 
90,Pachinko,Min Jin Lee,/DISPONIVEL,Intrínseca 
91,Em Águas Profundas,Patricia Highsmith,/DISPONIVEL,Intrínseca 
92,A troca,Beth O'Leary,/DISPONIVEL,Intrínseca 
93,O Enigma do Quarto 622,Joël Dicker,/DISPONIVEL,Intrínseca 
94,O Desaparecimento de Stephanie Mailer,Joël Dicker,/DISPONIVEL,Intrínseca 
95,Misbehaving,Richard H. Thaler,/DISPONIVEL,Intrínseca 
96,O verão que mudou minha vida,Jenny Han,/DISPONIVEL,Intrínseca 
97,Sem você não é verão,Jenny Han,/DISPONIVEL,Intrínseca 
98,Sempre teremos o verão,Jenny Han,/DISPONIVEL,Intrínseca 
99,Misbehaving,Richard H. Thaler ,/DISPONIVEL,Intrínseca 
100,Boy Erased,Garrard Conley,/DISPONIVEL,Intrínseca 
101,Boy Erased: Uma verdade anulada,Garrard Conley,/DISPONIVEL,Intrínseca 
102,Os prós e os contras de nunca esquecer,Val Emmich,/DISPONIVEL,Intrínseca 
103,O Quinto Risco,Michael Lewis,/DISPONIVEL,Intrínseca 
104,Holocausto Brasileiro,Daniela Arbex,/DISPONIVEL,Intrínseca 
105,Você nasceu para isso,Michelle Sacks,/DISPONIVEL,Intrínseca 
106,Nove Desconhecidos,Liane Moriarty ,/DISPONIVEL,Intrínseca 
107,O Que Aconteceu Com Annie,C.J. Tudor,/DISPONIVEL,Intrínseca 
108,As Crônicas de Âmbar,Roger Zezlany,/DISPONIVEL,Intrínseca 
109,Matadouro Cinco,Kurt Vonnegut,/DISPONIVEL,Intrínseca 
110,Mundo em Caos,Patrick Ness,/DISPONIVEL,Intrínseca 
111,Faça Tempo,Jake Knapp,/DISPONIVEL,Intrínseca 
112,O Caso da Mansão Deboën,Edgar Cantero,/DISPONIVEL,Intrínseca 
113,Ainda Sou Eu,Jojo Moyes,/DISPONIVEL,Intrínseca 
114,Areia Movediça,Malin Persson Giolito,/DISPONIVEL,Intrínseca 
115,F*deu Geral: Um Livro Sobre Esperança?,Mark Manson,/DISPONIVEL,Intrínseca 
116,A vida não é justa,Andréa Pachá,/DISPONIVEL,Intrínseca 
117,Nove Desconhecidos,Liane Moriarty ,/DISPONIVEL,Intrínseca 
118,Tempo de Luz,Whitney Scharer,/DISPONIVEL,Intrínseca 
119,Oblivion Song: Canção do Silêncio,Robert Kirkman,/DISPONIVEL,Intrínseca 
120,Só Pode Ser Brincadeira; Sr. Feynman!,Richard Feynman,/DISPONIVEL,Intrínseca 
121,Ponti,Sharlene Teo,/DISPONIVEL,Intrínseca 
122,Bird Box: Caixa de Pássaros,Josh Malerman,/DISPONIVEL,Intrínseca 
123,Black Hammer,Jeff Lemire,/DISPONIVEL,Intrínseca 
124,Mister,E.L. James,/DISPONIVEL,Intrínseca 
125,A Pena e a Lei,Ariano Suassuna,/DISPONIVEL,Nova 
126,O que Aconteceu com Annie,C.J. Tudor,/DISPONIVEL,Intrínseca 
127,Why Not,Raquel Landim,/DISPONIVEL,Intrínseca 
128,Raízes do Mal,Gwenda Bond,/DISPONIVEL,Intrínseca 
129,Um Lugar Bem Longe Daqui,Delia Owens,/DISPONIVEL,Intrínseca 
130,Um Lugar Bem Longe Daqui,Delia Owens,/DISPONIVEL,Intrínseca 
131,Noite em Caracas,Karina Sainz Borgo,/DISPONIVEL,Intrínseca 
132,Este é o mar,Mariana Enriquez,/DISPONIVEL,Intrínseca 
133,Ponti,Sharlene Teo,/DISPONIVEL,Intrínseca 
134,130 anos: Em busca da República,Alexandre de Moraes,/DISPONIVEL,Intrínseca 
135,Daqui Pra Baixo,Jason Reynolds,/DISPONIVEL,Intrínseca 
136,As Férias da Minha Vida,Clara Savelli,/DISPONIVEL,Intrínseca 
137,Bird Box: Caixa de Pássaros,Josh Malerman,/DISPONIVEL,Intrínseca 
138,O Labirinto do Fauno,Cornelia Maria Funke,/DISPONIVEL,Intrínseca 
139,Medicina dos Horrores,Lindsey Fitzharris,/DISPONIVEL,Intrínseca 
140,Mundo Em Caos (Vol. 1),Patrick Ness,/DISPONIVEL,Intrínseca 
141,O desaparecimento de Josef Mengele, Olivier Guez ,/DISPONIVEL,Intrínseca 
142,Pátria,Fernando Aramburu,/DISPONIVEL,Intrínseca 
143,Pátria,Fernando Aramburu,/DISPONIVEL,Intrínseca 
144,Contato de Emergência,Mary H.K. Choi,/DISPONIVEL,Intrínseca 
145,Teto Para Dois,Beth O'Leary,/DISPONIVEL,Intrínseca 
146,Caçadores de Nazistas,Andrew Nagorski,/DISPONIVEL,Intrínseca 
147,Pare Com Essa Merda,Gary John Bishop,/DISPONIVEL,Intrínseca 
148,Inspeção,Josh Malerman,/DISPONIVEL,Intrínseca 
149,Serpentário,Felipe Castilho,/DISPONIVEL,Intrínseca 
150,Rede de Sussurros,Chandler Baker,/DISPONIVEL,Intrínseca 
151,Agassi,Andre Agassi,/DISPONIVEL,Intrínseca 
152,O Construtor de Pontes,Markus Zusak,/DISPONIVEL,Intrínseca 
153,Medicina Dos Horrores,Lindsey Fitzharris,/DISPONIVEL,Intrínseca 
154,Um Caminho Para a Liberdade,Jojo Moyes,/DISPONIVEL,Intrínseca 
155,Cem,Valerio Vidali ,/DISPONIVEL,Intrínseca 
156,Cova 312,Daniela Arbex,/DISPONIVEL,Intrínseca 
157,Histórias das Histórias que Contei,Vinícius Dônola,/DISPONIVEL,Intrínseca 
158,A Tumba do Tirano,Rick Riordan,/DISPONIVEL,Intrínseca 
159,Rede de Sussurros,Chandler Baker,/DISPONIVEL,Intrínseca 
160,Tim Cook: O Gênio que Mudou o Futuro da Apple,Leander Kahney,/DISPONIVEL,Intrínseca 
161,Me Encontre, André Aciman ,/DISPONIVEL,Intrínseca 
162,Um Caminho Para a Liberdade,Jojo Moyes,/DISPONIVEL,Intrínseca 
163,Descender: Estrelas de Lata,Jeff Lemire,/DISPONIVEL,Intrínseca 
164,Ada Batista; Cientista,Andrea Beaty,/DISPONIVEL,Intrínseca 
165,Café Da Manhã Dos Campeões,Kurt Vonnegut,/DISPONIVEL,Intrínseca 
166,A Quietude É A Chave,Ryan Holiday,/DISPONIVEL,Intrínseca 
167,Segredo De Justiça,Andréa Pachá,/DISPONIVEL,Intrínseca 
168,Rita Bandeira; Engenheira,Andrea Beaty,/DISPONIVEL,Intrínseca 
169,Sofia Pimenta; Futura Presidenta,Andrea Beaty,/DISPONIVEL,Intrínseca 
170,Paulo Roberto; Arquiteto,Andrea Beaty,/DISPONIVEL,Intrínseca 
171,Quem é você; Alasca?,John Green,/DISPONIVEL,Intrínseca 
172,Os Segredos que Guardamos,Lara Prescott,/DISPONIVEL,Intrínseca 
173,Na Raça,Maria Luíza Filgueiras,/DISPONIVEL,Intrínseca 
174,REDE DE SUSSURROS,Chandler Baker,/DISPONIVEL,Intrínseca 
175,A Última Festa,Lucy Foley,/DISPONIVEL,Intrínseca 
176,Pátria,Fernando Aramburu,/DISPONIVEL,Intrínseca 
177,Teto Para Dois,Beth O'Leary,/DISPONIVEL,Intrínseca 
178,F*deu geral,Mark Manson,/DISPONIVEL,Intrínseca 
179,O Labirinto de Fogo,Rick Riordan,/DISPONIVEL,Intrínseca 
180,Um Lugar Bem Longe Daqui,Delia Owens,/DISPONIVEL,Intrínseca 
181,Cinquenta tons de liberdade: O capítulo final,E.L. James,/DISPONIVEL,Intrínseca 
182,Ainda Sou Eu,Jojo Moyes,/DISPONIVEL,Intrínseca 
183,O Senhor do Caos,Robert Jordan,/DISPONIVEL,Intrínseca 
184,Me Chame Pelo Seu Nome, André Aciman ,/DISPONIVEL,Intrínseca 
185,Ainda Sou Eu,Jojo Moyes,/DISPONIVEL,Intrínseca 
186,O método TB12,Tom Brady,/DISPONIVEL,Intrínseca 
187,A Grande Jogada,Molly Bloom,/DISPONIVEL,Intrínseca 
188,O Homem de Giz,C.J. Tudor,/DISPONIVEL,Intrínseca 
189,A Forma da Água,Guillermo del Toro,/DISPONIVEL,Intrínseca 
190,Mais Escuro (Grey Vol. 2),E L James,/DISPONIVEL,Intrínseca 
191,Um Cavalheiro em Moscou,Amor Towles,/DISPONIVEL,Intrínseca 
192,As Oito Montanhas, Paolo Cognetti ,/DISPONIVEL,Intrínseca 
193,TazerCraft,Gustavo Magnani,/DISPONIVEL,Intrínseca 
194,Ferramentas Dos Titãs,Timothy Ferriss,/DISPONIVEL,Intrínseca 
195,A Grande Jogada,Molly Bloom,/DISPONIVEL,Intrínseca 
196,Aniquilação,Jeff VanderMeer,/DISPONIVEL,Intrínseca 
197,Me Chame Pelo Seu Nome, André Aciman ,/DISPONIVEL,Intrínseca 
198,Um cavalheiro em Moscou,Amor Towles,/DISPONIVEL,Intrínseca 
199,Ikigai,Francesc Miralles,/DISPONIVEL,Intrínseca 
200,Os distorcidos,Scott Cawthon,/DISPONIVEL,Intrínseca 
201,Segredos do Acampamento Meio-Sangue,Rick Riordan,/DISPONIVEL,Intrínseca 
202,Trilha sonora para o fim dos tempos,Anthony Marra,/DISPONIVEL,Intrínseca 
203,Com Amor; Simon,Becky Albertalli,/DISPONIVEL,Intrínseca 
204,O Labirinto de Fogo,Rick Riordan,/DISPONIVEL,Intrínseca 
205,Deuses Americanos,Neil Gaiman,/DISPONIVEL,Intrínseca 
206,Estúpida; eu?,Camila Coutinho,/DISPONIVEL,Intrínseca 
207,Todas as Coisas Belas,Matthew Quick,/DISPONIVEL,Intrínseca 
208,Nix,Nathan Hill,/DISPONIVEL,Intrínseca 
209,No Tempo dos Feiticeiros,Cressida Cowell,/DISPONIVEL,Intrínseca 
210,No Tempo dos Feiticeiros,Cressida Cowell,/DISPONIVEL,Intrínseca 
211,Comer Para Não Morrer,Michael Greger,/DISPONIVEL,Intrínseca 
212,Comer Para Não Morrer,Michael Greger,/DISPONIVEL,Intrínseca 
213,Pequenos incêndios por toda parte, Celeste Ng ,/DISPONIVEL,Intrínseca 
214,Tudo o que nunca contei, Celeste Ng ,/DISPONIVEL,Intrínseca 
215,Black Hammer,Jeff Lemire,/DISPONIVEL,Intrínseca 
216,Logo; logo,Kelly Weinersmit,/DISPONIVEL,Intrínseca 
217,A essência do mal,Luca D'Andrea,/DISPONIVEL,Intrínseca 
218,Praia de Manhattan,Jennifer Egan,/DISPONIVEL,Intrínseca 
219,O que Alice esqueceu,Liane Moriarty ,/DISPONIVEL,Intrínseca 
220,A princesa prometida,William Goldman,/DISPONIVEL,Intrínseca 
221,Uma Casa No Fundo de Um Lago,Josh Malerman,/DISPONIVEL,Intrínseca 
222,Mentes sombrias,Alexandra Bracken,/DISPONIVEL,Intrínseca 
223,Refúgio no Sábado,Miriam Leitão,/DISPONIVEL,Intrínseca 
224,Variações Enigma, André Aciman ,/DISPONIVEL,Intrínseca 
225,Leah Fora de Sintonia,Becky Albertalli,/DISPONIVEL,Intrínseca 
226,A FORMA DA ÁGUA,Del Toro ,/DISPONIVEL,Intrínseca 
227,Princípios,Ray Dalio,/DISPONIVEL,Intrínseca 
228,Uma certa ideia de Brasil,Pedro Malan,/DISPONIVEL,Intrínseca 
229,O Homem de Giz,C.J. Tudor,/DISPONIVEL,Intrínseca 
230,O novo poder,Henry Timms,/DISPONIVEL,Intrínseca 
231,Princípios,Ray Dalio,/DISPONIVEL,Intrínseca 
232,A Morte da verdade,Michiko Kakutani,/DISPONIVEL,Intrínseca 
233,Esqueceram de Mim,Kim Smith,/DISPONIVEL,Intrínseca 
234,De volta para o futuro,Kim Smith,/DISPONIVEL,Intrínseca 
235,E.T. - O extraterrestre,Kim Smith,/DISPONIVEL,Intrínseca 
236,Esqueceram de mim,Kim Smith,/DISPONIVEL,Intrínseca 
237,Você foi enganado,Chico Otávio,/DISPONIVEL,Intrínseca 
238,Leonardo da Vinci - Edição de Luxo,Walter Isaacson,/DISPONIVEL,Intrínseca 
239,Por que nós dormimos, Matthew Walker ,/DISPONIVEL,Intrínseca 
240,A Morte da Verdade,Michiko Kakutani,/DISPONIVEL,Intrínseca 
241,Mitologia Nórdica,Neil Gaiman,/DISPONIVEL,Intrínseca 
242,De Volta Para o Futuro,Kim Smith,/DISPONIVEL,Intrínseca 
243,Black Hammer,Jeff Lemire,/DISPONIVEL,Intrínseca 
244,O Primeiro Homem,James R. Hansen,/DISPONIVEL,Intrínseca 
245,Mapa dos Dias,Ransom Riggs,/DISPONIVEL,Intrínseca 
246,Black Hammer,Jeff Lemire,/DISPONIVEL,Intrínseca 
247,A Catedral do Mar,Ildefonso Falcones,/DISPONIVEL,Intrínseca 
248,O Desaparecimento de Stephanie Mailer,Joël Dicker,/DISPONIVEL,Intrínseca 
249,As Viúvas,Lynda La Plante,/DISPONIVEL,Intrínseca 
250,Dez argumentos para você deletar agora suas redes sociais,Jaron Lanier,/DISPONIVEL,Intrínseca 
251,Velhos são os outros,Andréa Pachá,/DISPONIVEL,Intrínseca 
252,Como mudar sua mente,Michael Pollan,/DISPONIVEL,Intrínseca 
253,O caso da mansão Deboën,Edgar Cantero,/DISPONIVEL,Intrínseca 
254,Tartarugas até lá embaixo,John Green,/DISPONIVEL,Intrínseca 
255,What If It's Us,Becky Albertalli,/DISPONIVEL,HarperTeen 
256,As oito montanhas,Paolo Cognetti,/DISPONIVEL,Intrínseca 
257,Em busca de abrigo,Jojo Moyes,/DISPONIVEL,Intrínseca 
258,MITOLOGIA NÓRDICA,Neil Gaiman,/DISPONIVEL,Intrínseca 
259,Paris para um e outros contos,Jojo Moyes,/DISPONIVEL,Intrínseca 
260,O Livro dos Baltimore,Joël Dicker,/DISPONIVEL,Intrínseca 
261,Aconteceu naquele verão,Stephanie Perkins,/DISPONIVEL,Intrínseca 
262,Como combater a fúria de um dragão,Cressida Cowell,/DISPONIVEL,Intrínseca 
263,Buracos negros,Stephen Hawking,/DISPONIVEL,Intrínseca 
264,Meu menino vadio,Luiz Fernando Vianna,/DISPONIVEL,Intrínseca 
