index,titulo,autor,disp,genero,n_pags,editora 
 1094,"Um Carinho na Alma","Bráulio Bessa",DISPONIVEL,"Literatura Brasileira / Poemas, poesias ",160,Editora 
 1095,"Inteligência socioemocional","Augusto Cury",DISPONIVEL,"Autoajuda / Educação / Literatura Brasileira ",144,Editora 
 1096,"Diário em tópicos","Rachel Wilkerson Miller",DISPONIVEL," Crie listas do que fazer e do que não fazer Monte páginas especiais para planejar seus dias Elabore tabelas para monitorar seus hábitos Use símbolos para tornar suas anotações mais eficientesCaderno pontilhado 160 páginas em branco, pontilhadas e numeradas Capa resistente e flexível Elástico e fitilho para marcar páginas e manter tudo no lugar!Autoajuda / Literatura Estrangeira ",400,Editora 
 1097,"João de A a Z","João Carlos Martins",DISPONIVEL,"Do Amor ao Zênite, este é o livro do João!Biografia, Autobiografia, Memórias / Literatura Brasileira ",208,Sextante 
 1098,"Negocie como se sua vida dependesse disso","Chris Voss",DISPONIVEL,"Drama / Literatura Estrangeira / Não-ficção ",256,Editora 
 1099,"Precisamos falar sobre a morte","Kathryn Mannix",DISPONIVEL," KATHRYN MANNIXAutoajuda / Literatura Estrangeira ",320,Sextante 
 1100,"Vá em frente","Romi Neustadt",DISPONIVEL," ROMI NEUSTADTAutoajuda / Literatura Estrangeira / Negócios e Empreendedorismo ",256,Sextante 
 1101,"O que o CEO quer que você saiba","Ram Charan",DISPONIVEL,"Literatura Estrangeira / Negócios e Empreendedorismo ",160,Editora 
 1102,Herói,"Rhonda Byrne",DISPONIVEL,"EDIÇÃO EM CAPA DURAAutoajuda / Literatura Estrangeira ",240,Sextante 
 1103,"Oportunidades disfarçadas 2","Carlos Domingos",DISPONIVEL,"Administração / Negócios e Empreendedorismo ",224,Sextante 
 1104,"O poder dos quietos","Susan Cain",DISPONIVEL,"Autoajuda ",336,Sextante 
 1105,"Juntos somos melhores","Simon Sinek",DISPONIVEL,"Administração ",160,Sextante 
 1106,"Faça do coaching um hábito","Michael Bungay Stanier",DISPONIVEL," Michael Bungay StanierNegócios e Empreendedorismo ",224,Editora 
 1107,"O Grande Livro de Ciências do Manual do Mundo","MARI FULFARO",DISPONIVEL,"Educação / Não-ficção ",528,Sextante 
 1108,"Mundo das Flores","Johanna Basford",DISPONIVEL,"Uma aventura exuberante espera por você!Artes / Bem estar e lazer / Literatura Estrangeira ",80,Sextante 
 1109,"Mulheres não são chatas; mulheres estão exaustas","Ruth Manus",DISPONIVEL,"Ruth ManusLiteratura Brasileira / Não-ficção ",192,Sextante 
 1110,"Falando com estranhos","Malcolm Gladwell",DISPONIVEL,"Literatura Estrangeira / Não-ficção ",320,Sextante 
 1111,"Boxe 10 leituras essenciais","Harvard Business Review",DISPONIVEL,"Literatura Estrangeira / Negócios e Empreendedorismo ",1056,Sextante 
 1112,"Enquanto eu respirar","Ana Michelle Soares",DISPONIVEL,"Drama / Literatura Brasileira / Não-ficção ",240,Sextante 
 1113,"Palavras essenciais","PEMA CHÖDRÖN",DISPONIVEL,"EDEN STEINBERGLiteratura Estrangeira / Religião e Espiritualidade ",176,Sextante 
 1114,"O Poder do Agora","Eckhart Tolle",DISPONIVEL,"Literatura Estrangeira / Religião e Espiritualidade ",144,Sextante 
 1115,"Pais inteligentes enriquecem seus filhos","Gustavo Cerbasi",DISPONIVEL,"Literatura Brasileira / Negócios e Empreendedorismo ",176,Sextante 
 1116,"O estilo startup","Eric Ries",DISPONIVEL,"Literatura Estrangeira / Negócios e Empreendedorismo ",368,Sextante 
 1117,"Vender é humano","Daniel H. Pink",DISPONIVEL,"Administração / Literatura Estrangeira / Marketing e Publicidade / Negócios e Empreendedorismo ",256,Sextante 
 1118,"Atitude empreendedora","Larry C. Farrell",DISPONIVEL,"Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo ",352,Sextante 
 1119,"A história de Greta","Valentina Camerini",DISPONIVEL,"Infantojuvenil / Literatura Estrangeira ",128,Sextante 
 1120,"O homem ideal","Max Tucker",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",368,Sextante 
 1121,"A virtude da raiva","Arun Gandhi",DISPONIVEL,"Literatura Estrangeira / Religião e Espiritualidade ",176,Sextante 
 1122,"A Revelação","C. Baxter Kruger",DISPONIVEL,"Autoajuda / Religião e Espiritualidade ",256,Sextante 
 1123,"CORAÇÃO: MANUAL DO PROPRIETÁRIO","Johannes Hinrich von Borstel",DISPONIVEL,"Autoajuda / Literatura Estrangeira / Medicina e Saúde ",256,Sextante 
 1124,"O peso das dietas","Sophie Deram",DISPONIVEL,"Literatura Estrangeira / Medicina e Saúde ",256,Sextante 
 1125,"A Mais Breve História da Europa","John Hirst",DISPONIVEL,"História / História Geral / Literatura Estrangeira ",224,Sextante 
 1126,"A Coragem de não agradar","Ichiro Kishimi",DISPONIVEL,"Autoajuda / Literatura Estrangeira / Filosofia ",272,Sextante 
 1127,"O Poder (The Secret)","Rhonda Byrne",DISPONIVEL,"  Rhonda ByrneAutoajuda / Literatura Estrangeira / Religião e Espiritualidade ",272,Sextante 
 1128,"A ARTE DA MEDITAÇÃO","Daniel Goleman",DISPONIVEL,"Autoajuda / Literatura Estrangeira / Religião e Espiritualidade ",112,Sextante 
 1129,"A CAMINHO DE MARTE","Ivair Gontijo",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Brasileira / Não-ficção ",288,Sextante 
 1130,"BELA MATERNIDADE","Bela Gil",DISPONIVEL,"Bem estar e lazer / Biografia, Autobiografia, Memórias / Medicina e Saúde / Não-ficção ",256,Sextante 
 1131,Calma,"The School Of life",DISPONIVEL,"Não-ficção ",144,Sextante 
 1132,Relacionamentos,"The School Of Life",DISPONIVEL,"Não-ficção ",128,Sextante 
 1133,"As Cinco Pessoas que você Encontra no Céu","Mitch Albom",DISPONIVEL,"Autoajuda / Biografia, Autobiografia, Memórias / Drama / Esoterismo / Filosofia / Literatura Estrangeira / Psicologia / Religião e Espiritualidade / Romance / Sociologia ",192,Sextante 
 1134,"O Prisioneiro","Anand Dílvar",DISPONIVEL,"Autoajuda ",112,Sextante 
 1135,"Pipeline de Liderança","Ram Charan",DISPONIVEL,"Administração / Literatura Brasileira / Não-ficção / Negócios e Empreendedorismo ",272,Sextante 
 1136,"Me Poupe!","Nathalia Arcuri",DISPONIVEL,"Economia, Finanças / Literatura Brasileira / Educação / Negócios e Empreendedorismo ",176,Editora 
 1137,"Escrevi Isso Pra Você","Iain S. Thomas",DISPONIVEL,"Literatura Estrangeira / Poemas, poesias ",208,Sextante 
 1138,Fitá,"Tenório Karla",DISPONIVEL,"Infantil / Literatura Brasileira ",40,Sextante 
 1139,"Meu Filho Me Enlouquece!","Filliozat Isabelle",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",176,Sextante 
 1140,"Mindfulness Para Uma Vida Melhor","Elias Farah Eduardo",DISPONIVEL," Você também vai aprender a:· Reforçar sua capacidade de realização e administração do tempo· Fortalecer os relacionamentos por meio da empatia e da compaixão· Intensificar o vigor, o engajamento e a criatividade· Inspirar a inovação, a liderança, o trabalho em equipe e a éticaAutoajuda / Literatura Estrangeira ",192,Sextante 
 1141,"Como chegar ao SIM","Bruce Patton",DISPONIVEL,"Administração / Literatura Estrangeira / Negócios e Empreendedorismo ",224,Sextante 
 1142,"Poesia que transforma","Bráulio Bessa",DISPONIVEL,"Literatura Brasileira / Poemas, poesias ",192,Sextante 
 1143,"A Alma Indomável","Michael A. Singer",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",208,Sextante 
 1144,"O que Nietzsche faria?","Marcus Weeks",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",240,Sextante 
 1145,"Celular; doce lar","Rosana Hermann",DISPONIVEL,"Comunicação / Humor, Comédia / Informática e Tecnologia / Literatura Brasileira / Não-ficção ",176,Sextante 
 1146,"Culinária básica","Vigilantes do Peso",DISPONIVEL,"Sinta-se no controle da sua alimentação!Culinária e Gastronomia / Literatura Brasileira / Não-ficção ",416,Editora 
 1147,"Livre Para Voar","Fábio Teruel",DISPONIVEL," Então prepare-se para ir mais longe do que sempre sonhou!Fábio TeruelAutoajuda / Literatura Brasileira ",144,Editora 
 1148,"A Magia do Silêncio","Kankyo Tannier",DISPONIVEL,"""  CosmopolitanLiteratura Estrangeira / Religião e Espiritualidade ",160,Sextante 
 1149,"Como lidar com a política no trabalho","Karen Dillion",DISPONIVEL,"Administração / Literatura Estrangeira / Negócios e Empreendedorismo ",176,Editora 
 1150,"Apresentações convincentes","Nancy Duarte",DISPONIVEL,"Administração / Literatura Brasileira / Negócios e Empreendedorismo ",208,Editora 
 1151,"Gerenciando pessoas","Harvard Business Review",DISPONIVEL,"Este livro vai inspirar você a: adequar seu estilo de gestão à necessidade de seu pessoal motivar dando mais responsabilidade e não mais dinheiro ajudar os gestores e líderes de equipe de primeira viagem desenvolver confiança pedindo a opinião e a colaboraçãodos outros ensinar pessoas inteligentes a aprender com ospróprios erros desenvolver equipes de alta performance gerenciar o seu chefeAdministração / Literatura Estrangeira / Negócios e Empreendedorismo ",224,Editora 
 1152,"Por que o budismo funciona","Robert Wright",DISPONIVEL,""" ¿ Peter Singer, autor de Ética práticaLiteratura Estrangeira / Psicologia / Religião e Espiritualidade ",304,Sextante 
 1153,"Amor sustentável","Lígia Guerra",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",208,Sextante 
 1154,"Comece pelo porquê","Simon Sinek",DISPONIVEL,"""  WILLIAM URY, coautor de Como chegar ao sim PUBLICADO ANTERIORMENTE COM O TÍTULO POR QUÊ?Administração / Literatura Estrangeira / Negócios e Empreendedorismo ",256,Editora 
 1155,"Dúvida Cruel","Mariana Fulfaro",DISPONIVEL,"Literatura Brasileira / Não-ficção ",208,Editora 
 1156,"A classe média no espelho","Jessé Souza",DISPONIVEL,"Literatura Brasileira / Política ",288,Estação 
 1157,"Grandes pensadores","The School of Life",DISPONIVEL,"Literatura Estrangeira ",352,Editora 
 1158,"Como se relacionar bem usando a Comunicação Não Violenta","Thomas d'Ansembourg",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",208,Editora 
 1159,"Cinco minutos por dia","Alex Ikonn",DISPONIVEL," Em menos de cinco minutos por diaAutoajuda / Literatura Estrangeira ",280,Editora 
 1160,"Claude Troisgros: histórias; dicas e receitas","Claude Troisgros",DISPONIVEL,"Bon appétit!Literatura Estrangeira / Não-ficção ",320,Editora 
 1161,"As Cinco Pessoas Que Você Encontra no Céu","Mitch Albom",DISPONIVEL,"EDIÇÃO EM CAPA DURAAutoajuda / Biografia, Autobiografia, Memórias / Esoterismo / Filosofia / Literatura Estrangeira / Psicologia / Religião e Espiritualidade / Romance / Sociologia / Drama ",192,Arqueiro 
 1162,"As 8 leis espirituais da saúde","Rosa Tommy",DISPONIVEL,"Religião e Espiritualidade ",240,Sextante 
 1163,Luigis,"Veronica Dobal",DISPONIVEL," E preciso explicar o porquê dessa longevidade?  Luciana FróesCulinária e Gastronomia ",100,Sextante 
 1164,"Diário de um bárbaro covarde","Two Little Cowboys",DISPONIVEL,"Infantojuvenil / Jogos / Literatura Estrangeira ",96,Sextante 
 1165,"Você pode falar com Deus","Pedro Siqueira",DISPONIVEL,"Literatura Brasileira / Religião e Espiritualidade ",144,Sextante 
 1166,"O que eu sei de verdade","Oprah Winfrey",DISPONIVEL,"Autoajuda / Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção ",144,Sextante 
 1167,"A Dieta Espiritual","Allan Percy",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",208,Sextante 
 1168,"A Cabana - Guia de Estudos","William P. Young",DISPONIVEL,"Literatura Estrangeira / Religião e Espiritualidade ",192,Sextante 
 1169,"Escolha sua vida","Paula Abreu",DISPONIVEL,"Autoajuda / Literatura Brasileira ",144,Sextante 
 1170,"A vida secreta das árvores","Peter Wohlleben",DISPONIVEL,"Literatura Estrangeira / Não-ficção ",224,Sextante 
 1171,"Nate é um estouro","Lincoln Peirce",DISPONIVEL,"Infantil / Literatura Estrangeira ",224,Sextante 
 1172,"Senhora dos ares","Pedro Siqueira",DISPONIVEL,"Literatura Brasileira / Religião e Espiritualidade ",256,Sextante 
 1173,"O Livro Ilustrado dos Maus Argumentos","Ali Almossawi",DISPONIVEL," Indispensável para qualquer pessoa que cultive o hábito de ter uma opinião, este livro é um antídoto contra raciocínios fracosEducação / Literatura Estrangeira / Não-ficção ",64,Sextante 
 1174,"A Morte Como Despertar","Rajiv Parti",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção / Religião e Espiritualidade ",240,Sextante 
 1175,"Shawn Mendes - Edição Especial para Fãs (Capa Dura)","Shawn Mendes",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Estrangeira ",64,Sextante 
 1176,"Como Vencer Gigantes","William Douglas",DISPONIVEL,"Autoajuda / Literatura Brasileira ",192,Sextante 
 1177,PRÉ-SUASÃO,"Robert Cialdini",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",288,Sextante 
 1178,"As Cinco Feridas Emocionais","Lise Bourbeau",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",176,Sextante 
 1179,"O que todo jovem talento precisa aprender","Bruce Tulgan",DISPONIVEL,"Administração / Literatura Estrangeira / Negócios e Empreendedorismo ",288,Sextante 
 1180,"MARKETING 4.0","KARTAJAYA HERMAWAN",DISPONIVEL,"Administração / Literatura Estrangeira / Marketing e Publicidade / Negócios e Empreendedorismo ",208,Sextante 
 1181,"Rebeldes têm asas","Rony Meisler",DISPONIVEL," Mil perdões, Rony!  Sergio PuglieseLiteratura Brasileira / Negócios e Empreendedorismo ",448,Sextante 
 1182,"Pílulas de Bem-Estar","Daniel Martins de Barros",DISPONIVEL," E sem efeitos colateraisAutoajuda / Bem estar e lazer / Literatura Brasileira ",224,Sextante 
 1183,"Poesia Reunida","Bruna Lombardi",DISPONIVEL,"Literatura Estrangeira / Poemas, poesias ",384,Sextante 
 1184,"Se a Vida É Um Jogo; Aqui Estão as Regras.","C. Allan",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",288,Sextante 
 1185,"Atenção Plena Para Iniciantes","Jon Kabat-Zinn",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",176,Sextante 
 1186,"Trago seu amor de volta sem pedir nada em troca","Ique Carvalho",DISPONIVEL,"Crônicas / Literatura Brasileira / Romance ",240,Sextante 
 1187,"A Morte na Visão do Espiritismo","Alexandre Caldini Neto",DISPONIVEL," De forma clara e delicada, Caldini desvenda os princípios básicos do espiritismo e esclarece as principais dúvidas sobre a morte e outros temas relacionados: Por que tememos a morte? O que acontece no momento em que morremos? Sofremos? Ao morrer, para onde vamos? Reencontraremos os que amamos e já morreram? O que diz o espiritismo sobre eutanásia, aborto e suicídio? Existe morte prematura? Como lidar com a dor da culpa, do remorso e da saudade? É adequado pedir mensagem daquele que morreu? Como rezar para quem morreu? Como consolar alguém pela morte da pessoa amada?Literatura Brasileira / Religião e Espiritualidade ",224,Sextante 
 1188,"O Homem Mais Feliz da História","Augusto Cury",DISPONIVEL,"Autoajuda / Literatura Brasileira ",336,Sextante 
 1189,"PRIMEIRO O MAIS IMPORTANTE","Stephen Covey ",DISPONIVEL," Michael Hammer, coautor de Mais rápido, barato e melhorAdministração / Literatura Estrangeira / Negócios e Empreendedorismo ",416,Sextante 
 1190,"Eu Maior","Fernando Schultz",DISPONIVEL,"Literatura Brasileira / Religião e Espiritualidade ",272,Sextante 
 1191,"O Yoga que Conduz à Plenitude","Gloria Arieira",DISPONIVEL,"Literatura Brasileira / Religião e Espiritualidade ",304,Sextante 
 1192,"A Transição Para o Oceano Azul","Chan Kim W",DISPONIVEL,"Administração / Literatura Estrangeira / Negócios e Empreendedorismo ",288,Sextante 
 1193,"A Boa Sorte","Fernando Trías de Bes",DISPONIVEL,"Autoajuda ",128,Sextante 
 1194,"A melhor dieta para você ","Caroline Jones",DISPONIVEL,"Veja algumas dúvidas comuns que a autora irá esclarecer de uma vez por todas: Eliminar os carboidratos da alimentação é prejudicial para o organismo? Uma dieta rica em proteínas pode causar o aumento do colesterol e do risco de doenças cardíacas? É necessário fazer exercícios físicos junto com a dieta para perder peso? O efeito sanfona é um risco previsto em todos os regimes de resultados rápidos? O segredo para o emagrecimento é apenas ingerir menos calorias do que se queima? Os alimentos com baixo índice glicêmico são necessariamente mais saudáveis?Culinária e Gastronomia ",176,Sextante 
 1195,"Paraíso tropical","Millie Marotta",DISPONIVEL,"Artes ",96,Sextante 
 1196,"Diário de um Zumbi do Minecraft ","Herobrine Books",DISPONIVEL,"NESTE VOLUME, DESCUBRA O VERDADEIRO NOME DO ZUMBI!Infantil / Infantojuvenil / Jogos ",96,Editora 
 1197,"Minha vida anticâncer","Odile Fernández Martínez ",DISPONIVEL,"Autoajuda / Medicina e Saúde ",432,Sextante 
 1198,"O Turista Interior","Allan Percy",DISPONIVEL,"Autoajuda ",192,Sextante 
 1199,"A divina sabedoria dos mestres","Brian Weiss",DISPONIVEL," - Brian WeissReligião e Espiritualidade ",208,Sextante 
 1200,PSI-Q,"Ben Ambridge",DISPONIVEL,"Autoajuda / Jogos ",272,Sextante 
 1201,"10% Humano","Alanna Collen",DISPONIVEL,"Biologia ",288,Sextante 
 1202,Metanoia,"Roberto Adami Tranjan",DISPONIVEL,"Administração / Negócios e Empreendedorismo ",192,Sextante 
 1203,"O ponto de equilíbrio","Christine Carter",DISPONIVEL,"Autoajuda ",256,Sextante 
 1204,"Assim se pariu o Brasil","Pedro Almeida Vieira",DISPONIVEL,"Não-ficção ",320,Sextante 
 1205,Animorphia,"Kerby Rosanes",DISPONIVEL," Pegue suas canetas, seus lápis de cor e dê asas à imaginação nesta aventura surreal!Artes ",96,Sextante 
 1206,"O Poder do Silêncio","Eckhart Tolle",DISPONIVEL,"Autoajuda / Psicologia / Religião e Espiritualidade ",80,Sextante 
 1207,"Diário de um Zumbi do Minecraft","Herobrine Books",DISPONIVEL," O temível monstro de comida do refeitório pode estar atrás de você! Neste volume: o maior segredo do creepy é revelado! Infantil / Infantojuvenil ",114,Sextante 
 1208,"Chega de Açúcar","Sarah Wilson",DISPONIVEL,"Bem estar e lazer / Culinária e Gastronomia / Medicina e Saúde ",224,Sextante 
 1209,"Peça e será atendido",Abraham-Hicks,DISPONIVEL,"Religião e Espiritualidade ",224,Sextante 
 1210,"O Último Sopro de Vida","Paul Kalanithi",DISPONIVEL,"Biografia, Autobiografia, Memórias ",176,Sextante 
 1211,"Mais Forte do que Nunca","Brené Brown",DISPONIVEL," Autoajuda / Bem estar e lazer ",272,Sextante 
 1212,"Lava Jato ","Vladimir Netto",DISPONIVEL," Literatura Brasileira / Não-ficção / Política / Comunicação ",372,Primeira 
 1213,"Ganhar; Gastar; Investir","Denise Damiani",DISPONIVEL,"Negócios e Empreendedorismo ",256,Sextante 
 1214,"Pequenos passos para mudar sua vida","Robert Maurer Ph.D.",DISPONIVEL,"Autoajuda ",160,Sextante 
 1215,"O MBA da vida real","Jack Welch",DISPONIVEL," Administração / Negócios e Empreendedorismo ",224,Sextante 
 1216,"Isso me traz alegria","Marie Kondo",DISPONIVEL,"Autoajuda ",272,Sextante 
 1217,"Mudando o tom da conversa","Dana Caspersen",DISPONIVEL,"Negócios e Empreendedorismo ",272,Sextante 
 1218,Blink,"Malcolm Gladwell",DISPONIVEL,"Não-ficção ",240,Sextante 
 1219,"Um coração sem medo","Thupten Jinpa",DISPONIVEL,"  Sua Santidade, o Dalai LamaReligião e Espiritualidade ",224,Sextante 
 1220,"Faça você mesmo","Caio Novaes",DISPONIVEL," Deixe aflorar o cozinheiro que mora em você e compartilhe as fotos dos seus pratos nas redes sociais, marcando-as com a hashtag #anamariabrogui!Não-ficção ",240,Sextante 
 1221,"A arte de fazer acontecer","David Allen",DISPONIVEL,"Negócios e Empreendedorismo / Administração / Autoajuda / Não-ficção / Marketing e Publicidade / Bem estar e lazer ",353,Sextante 
 1222,"No Meio do Caminho Tinha Um Amor","Matheus Rocha",DISPONIVEL," E, sem nem saber como, no meio do caminho avistamos novamente o amor  e a certeza de um novo começo!Crônicas / Literatura Brasileira ",176,Sextante 
 1223,"Eu sou as escolhas que faço","Elle Luna",DISPONIVEL,"Autoajuda / Bem estar e lazer ",176,Sextante 
 1224,"A Vida Ama Você","Louise Hay",DISPONIVEL,"Autoajuda / Religião e Espiritualidade ",176,Sextante 
 1225,"The Beatles","Steve Turner",DISPONIVEL,"Biografia, Autobiografia, Memórias / Música ",353,Sextante 
 1226,"Conselhos para um jovem príncipe","Príncipe Alexi Lubomirski",DISPONIVEL,"Não-ficção ",120,Sextante 
 1227,"Diário de um zumbi do Minecraft","Zack Zombie",DISPONIVEL,"Será que eles vão conseguir sobreviver à maior aventura de suas vidas?NESTE VOLUME: CUIDADO COM O PERIGOSO JOE DAS MINAS!Infantojuvenil ",112,Sextante 
 1228,"Selva Mágica","Johanna Basford",DISPONIVEL,"Artes / Bem estar e lazer / Entretenimento ",88,Sextante 
 1229,"Salsichas Galácticas","Max Brallier",DISPONIVEL,"Aventura / Humor, Comédia / Infantil / Infantojuvenil ",304,Sextante 
 1230,"Salsichas Galácticas","Max Brallier",DISPONIVEL," Mas em pouco tempo Cosmo e seus amigos percebem que estão correndo sério perigo  e não estamos falando dos monstros terríveis que eles precisam enfrentar no ringue! Será que vão conseguir salvar a própria pele e ainda vender suas salsichas?Aventura / Infantil ",288,Sextante 
 1231,"Platão para Sonhadores","Allan Percy",DISPONIVEL,"Autoajuda ",176,Sextante 
 1232,"A História Secreta da Criatividade","Kevin Ashton",DISPONIVEL,"Administração / Negócios e Empreendedorismo ",288,Sextante 
 1233,"Liderar com o Coração","Mike Krzyzewski",DISPONIVEL,"Autoajuda ",144,Sextante 
 1234,"Muito Amor; Por Favor","Fred Elboni",DISPONIVEL,"Autoajuda ",240,Sextante 
 1235,"Praticando o Poder do Agora","Eckhart Tolle",DISPONIVEL,"Religião e Espiritualidade ",144,Sextante 
 1236,"Se meu cachorro falasse","Cynthia L. Copeland",DISPONIVEL," Verdadeiros filósofos de quatro patas, eles nos mostram que cada dia é uma dádiva  e que cada refeição é a melhor de todas!Autoajuda ",176,Sextante 
 1237,"30 dias para mudar  The Whole30","Melissa Hartwig",DISPONIVEL,"Medicina e Saúde ",416,Sextante 
 1238,"A coragem de ser imperfeito","Brené Brown",DISPONIVEL,"Autoajuda / Não-ficção / Negócios e Empreendedorismo / Psicologia ",208,Sextante 
 1239,"A maior de todas as mágicas","James R. Doty",DISPONIVEL,"Religião e Espiritualidade ",240,Sextante 
 1240,"Diário de Um Zumbi do Minecraft","Zombie Zack",DISPONIVEL,"Além de ter que sobreviver a um concurso de soletrar e ao temível professor Matsumoto, nosso zumbi preferido terá um desafio muito especial: se conseguir irar nota 7 em todas as matérias, vai ganhar um video game novinho em folha!Só tem um detalhe: como o zumbi vai conseguir tirar uma nota boa na aula intermediária de susto com aquela carinha inofensiva dele?NESTE VOLUME: O ZUMBI VAI FICAR MONSTRUOSO!Infantojuvenil ",144,Sextante 
 1241,"O Homem mais inteligente da História","Augusto Cury",DISPONIVEL,"Literatura Brasileira / Religião e Espiritualidade / Romance ",272,Sextante 
 1242,"Todo mundo tem um anjo da guarda","Pedro Siqueira",DISPONIVEL,"Religião e Espiritualidade ",160,Sextante 
 1243,"O Poder da Presença","Cuddy Amy",DISPONIVEL,"Bem estar e lazer / Esportes / Medicina e Saúde ",256,Sextante 
 1244,"O Livro da Vida - Nova Versão Transformadora","Vários Autores",DISPONIVEL,"Religião e Espiritualidade ",1520,Sextante 
 1245,"101 Canções que Tocaram o Brasil","Nelson Motta",DISPONIVEL,"Música / Não-ficção ",224,Sextante 
 1246,"Ouse Crescer","Tara Mohr",DISPONIVEL,"ver maisAutoajuda / Literatura Estrangeira / Negócios e Empreendedorismo ",240,Sextante 
 1247,"As Cores do Natal","Johanna Basford",DISPONIVEL,"Bem estar e lazer ",80,Sextante 
 1248,"Como o Segredo Mudou Minha Vida","Rhonda Byrne",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",272,Sextante 
 1249,"Atenção plena em poucas palavras","Patrizia Collard",DISPONIVEL,"Autoajuda ",96,Sextante 
 1250,"A marca da vitória","Phil Knight",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Administração ",384,Sextante 
 1251,"Flor do Dia","Sri Prem Baba",DISPONIVEL,"Autoajuda / Literatura Brasileira / Religião e Espiritualidade ",152,Sextante 
 1252,Propósito,"Sri Prem Baba",DISPONIVEL,"Literatura Brasileira / Religião e Espiritualidade ",160,Sextante 
 1253,"Pokémon Extreme","Venom Extreme",DISPONIVEL,"Infantojuvenil / Jogos / Literatura Estrangeira ",208,Sextante 
 1254,"Uma casa no meio do caminho","Barry Martin",DISPONIVEL,"Literatura Estrangeira / Não-ficção / Biografia, Autobiografia, Memórias ",235,Sextante 
 1255,"Como enfrentar a violência verbal","Patricia Evans",DISPONIVEL," ",256,Sextante 
 1256,"O Monge e o Executivo","James C. Hunter",DISPONIVEL,"Administração / Autoajuda / Negócios e Empreendedorismo ",144,Sextante 
 1257,"Como reconquistar seu ex","Paula Cassim",DISPONIVEL,"Autoajuda ",112,Sextante 
 1258,"O caminho para a liberdade financeira","Bodo Schäfer",DISPONIVEL," ",240,Sextante 
 1259,"O código da inteligência","Augusto Cury",DISPONIVEL,"Autoajuda ",256,Sextante 
 1260,"Tudo sobre Arquitetura","Denna Jones",DISPONIVEL," Arquitetura e Decoração ",576,Sextante 
 1261,"Produtividade máxima","Tamara Schwambach Kano Myles",DISPONIVEL," ",192,Sextante 
 1262,"O Jogo das Perguntas","Gregory Stock Ph.D.",DISPONIVEL,"Autoajuda ",192,Sextante 
 1263,"Quarentena amorosa","Angela Brandão",DISPONIVEL," ",192,Sextante 
 1264,"Como vencer quando você não é o favorito","Rubens Teixeira",DISPONIVEL,"Rubens Teixeira ",192,Sextante 
 1265,"Jornada do espírito","James Van Praagh",DISPONIVEL,"Religião e Espiritualidade ",176,Sextante 
 1266,"O poder do fracasso","Sarah Lewis",DISPONIVEL," ",256,Sextante 
 1267,"A identidade da alma","Panache Desai",DISPONIVEL," ",224,Sextante 
 1268,"Os últimos passos de Jesus","Bill O'Reilly",DISPONIVEL,"Não-ficção ",256,Sextante 
 1269,"Como chegar ao sim com você mesmo","William Ury",DISPONIVEL," ",144,Sextante 
 1270,"A Mágica da Arrumação","Marie Kondo",DISPONIVEL,"Almanaques / Autoajuda / Literatura Estrangeira ",160,Sextante 
 1271,"Os 27 Desafios Que Todo Chefe Deve Enfrentar","Bruce Tulgan",DISPONIVEL," ",240,Sextante 
 1272,Essencialismo,"Greg McKeown",DISPONIVEL,"Administração / Autoajuda / Negócios e Empreendedorismo ",272,Sextante 
 1273,"75 Hábitos dos casais felizes ","Ashley Davis Bush",DISPONIVEL," ",224,Sextante 
 1274,"O Segredo","Rhonda Byrne",DISPONIVEL,"  retirado do PrefácioAutoajuda ",216,Sextante 
 1275,"Reino Animal","Millie Marotta",DISPONIVEL,"Literatura Estrangeira ",96,GMT 
 1276,"Como convencer as pessoas a fazer o que você quer","Susan M. Weinschenk",DISPONIVEL,"Autoajuda ",240,Sextante 
 1277,"A felicidade está nas pequenas coisas","Haim Shapira",DISPONIVEL,"Autoajuda ",160,Editora 
 1278,"Segredos de Paris","Zoé de Las Cases",DISPONIVEL," Artes ",96,Editora 
 1279,Gatomania,Mesdemoiselles,DISPONIVEL,"Fuja do estresse, relaxe e divirta-se com a Gatomania!Artes ",96,Editora 
 1280,"Mandalas: Cores Criativas","Valentina Harper",DISPONIVEL," ",72,Sextante 
 1281,"Animais: Cores Criativas","Valentina Harper",DISPONIVEL," Pegue seu material, abuseda criatividade e diga adeus ao estresse! ",72,Sextante 
