index,titulo,autor,disp,genero,n_pags,editora 
 42,"Observações sobre um planeta nervoso","Matt Haig",DISPONIVEL,"Ficção / Literatura Estrangeira / Psicologia ",320,Intrínseca 
 43,"A Vida Mentirosa dos Adultos","Elena Ferrante",DISPONIVEL,"Ficção / Literatura Estrangeira ",430,Intrínseca 
 44,"Capital e Ideologia","Thomas Piketty",DISPONIVEL,"Economia, Finanças / Literatura Estrangeira / Não-ficção ",1056,Intrínseca 
 45,"A vida mentirosa dos adultos","Elena Ferrante",DISPONIVEL,"Ficção / Literatura Estrangeira ",432,Intrínseca 
 46,"O Árabe do Futuro","Riad Sattouf",DISPONIVEL,"Biografia, Autobiografia, Memórias / HQ, comics, mangá ",288,Intrínseca 
 47,"Com Amor; Creekwood","Becky Albertalli",DISPONIVEL,"Jovem adulto / LGBT / GLS / Literatura Estrangeira ",144,Intrínseca 
 48,"A Dança da Água","Ta-Nehisi Coates",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",400,Intrínseca 
 49,"A Casa Holandesa","Ann Patchett",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",352,Intrínseca 
 50,"Os Dois Mundos de Isabel","Daniela Arbex",DISPONIVEL,"FLÁVIA OLIVEIRABiografia, Autobiografia, Memórias / Literatura Brasileira / Não-ficção ",304,Intrínseca 
 51,"Cartas para Martin","Nic Stone",DISPONIVEL,"Ficção / Jovem adulto / Literatura Estrangeira / Romance ",256,Intrínseca 
 52,"A dança da água","Ta-Nehisi Coates",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",400,Intrínseca 
 53,Adultos," Emma Jane Unsworth ",DISPONIVEL,"Drama / Humor, Comédia / Romance / Ficção / Literatura Estrangeira ",400,Intrínseca 
 54,"Piano Mecânico","Kurt Vonnegut",DISPONIVEL,"Distopia / Ficção / Ficção científica / Literatura Estrangeira ",496,Intrínseca 
 55,"Amor & Sorte","Jenna Evans Welch",DISPONIVEL,"Ficção / Jovem adulto / Literatura Estrangeira / Romance ",272,Intrínseca 
 56,"Amor & Sorte","Jenna Evans Welch",DISPONIVEL,"Ficção / Jovem adulto / Literatura Estrangeira / Romance ",272,Intrínseca 
 57,"A Regra é Não Ter Regras","Reed Hastings",DISPONIVEL,"História / Literatura Estrangeira / Não-ficção ",352,Intrínseca 
 58,"Árvore dos Desejos","K. A. Applegate",DISPONIVEL,"Ficção / Infantojuvenil / Literatura Estrangeira ",224,Intrínseca 
 59,"A troca","Beth O'Leary",DISPONIVEL,"Chick-lit / Romance / Literatura Estrangeira ",352,Intrínseca 
 60,"A Troca","Beth O'Leary",DISPONIVEL," De volta a Londres, Eileen é um grande sucesso com seus novos vizinhos, mas será que seu par perfeito está mais perto de casa do que ela pensava?Chick-lit / Ficção / Romance ",352,Intrínseca 
 61,"A Caminho da Guerra","Graham Allison",DISPONIVEL,"Economia, Finanças / História / Literatura Estrangeira / Política ",416,Intrínseca 
 62,"Nada Ortodoxa","Deborah Feldman",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção ",304,Intrínseca 
 63,Ruptura,"Monica de Bolle",DISPONIVEL,"Literatura Brasileira / Não-ficção ",320,Intrínseca 
 64,"Cercado de Idiotas","THOMAS ERIKSON",DISPONIVEL,"Autoajuda / Literatura Estrangeira / Não-ficção ",304,Intrínseca 
 65,"Box Neil Gaiman","NEIL GAIMAN",DISPONIVEL,"Fantasia / Ficção / Ficção científica / Horror / Literatura Estrangeira ",1240,Intrinseca 
 66,"A Torre de Nero","Rick Riordan",DISPONIVEL,"Aventura / Fantasia / Infantojuvenil / Jovem adulto / Literatura Estrangeira ",336,Intrínseca 
 67,"Quase uma Rockstar","Matthew Quick",DISPONIVEL," Publishers WeeklyLiteratura Estrangeira ",256,Intrínseca 
 68,"Promessa de Pai","Joe Biden",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Política ",256,Intrínseca 
 69,Shine,"Jessica Jung",DISPONIVEL,"Jovem adulto / Literatura Estrangeira / Romance ",368,Intrínseca 
 70,"O Refúgio","Mick Kitson",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",320,Intrínseca 
