index,titulo,autor,n_pags,editora,genero 
 1088,"Vivendo a comunicação não violenta","Marshall B. Rosenberg",192,Sextante," Além de oferecer uma introdução à Comunicação Não Violenta, este livro trata dos seguintes temas:  Podemos dar um jeito: como resolver conflitos de forma pacífica e eficaz  Amar sendo eu mesmo: como criar relações amorosas sem abrir mão de nossos valores e integridade  Superando a dor entre nós: como alcançar a reconciliação e a cura sem fazer concessões  O propósito surpreendente da raiva: para além do gerenciamento da raiva, como encontrar sua virtude  Criando filhos com compaixão: como educar de acordo com a CNV  Espiritualidade prática: reflexões sobre a base espiritual da CNVAutoajuda / Comunicação / Literatura Estrangeira " 
 1089,"Pai; me conta a sua história?","Elma van Vliet",160,Editora,"Literatura Estrangeira / Não-ficção " 
 1090,"Vô; me conta a sua história?","Elma van Vliet",160,Editora,"Literatura Estrangeira / Não-ficção " 
 1091,"Atenção plena para iniciantes","Jon Kabat-Zinn",176,Editora,"Autoajuda / Literatura Estrangeira " 
 1092,"Corajosa sim; perfeita não","Reshma Saujani",192,Sextante," ou mudar minha vida como sempre sonhei em segredo, sem me preocupar com o resultado?Como seria nossa vida?Autoajuda / Literatura Estrangeira " 
 1093,"Pare de Ganhar Mal","Breno Paquelet",160,Sextante," Ele também traz respostas para as dúvidas mais frequentes na hora de abordar seu gestor: Como saber se o aumento realmente faz sentido Qual o melhor momento para discutir seu aumento Como e quanto pedir Como se preparar para a conversa com seu chefe Como superar um ""não"" O que nunca se deve fazer em uma negociação salarialLiteratura Brasileira / Negócios e Empreendedorismo " 
 1094,"Um Carinho na Alma","Bráulio Bessa",160,Editora,"Literatura Brasileira / Poemas, poesias " 
 1095,"Inteligência socioemocional","Augusto Cury",144,Editora,"Autoajuda / Educação / Literatura Brasileira " 
 1096,"Diário em tópicos","Rachel Wilkerson Miller",400,Editora," Crie listas do que fazer e do que não fazer Monte páginas especiais para planejar seus dias Elabore tabelas para monitorar seus hábitos Use símbolos para tornar suas anotações mais eficientesCaderno pontilhado 160 páginas em branco, pontilhadas e numeradas Capa resistente e flexível Elástico e fitilho para marcar páginas e manter tudo no lugar!Autoajuda / Literatura Estrangeira " 
 1097,"João de A a Z","João Carlos Martins",208,Sextante,"Do Amor ao Zênite, este é o livro do João!Biografia, Autobiografia, Memórias / Literatura Brasileira " 
 1098,"Negocie como se sua vida dependesse disso","Chris Voss",256,Editora,"Drama / Literatura Estrangeira / Não-ficção " 
 1099,"Precisamos falar sobre a morte","Kathryn Mannix",320,Sextante," KATHRYN MANNIXAutoajuda / Literatura Estrangeira " 
 1100,"Vá em frente","Romi Neustadt",256,Sextante," ROMI NEUSTADTAutoajuda / Literatura Estrangeira / Negócios e Empreendedorismo " 
 1101,"O que o CEO quer que você saiba","Ram Charan",160,Editora,"Literatura Estrangeira / Negócios e Empreendedorismo " 
 1102,Herói,"Rhonda Byrne",240,Sextante,"EDIÇÃO EM CAPA DURAAutoajuda / Literatura Estrangeira " 
 1103,"Oportunidades disfarçadas 2","Carlos Domingos",224,Sextante,"Administração / Negócios e Empreendedorismo " 
 1104,"O poder dos quietos","Susan Cain",336,Sextante,"Autoajuda " 
 1105,"Juntos somos melhores","Simon Sinek",160,Sextante,"Administração " 
 1106,"Faça do coaching um hábito","Michael Bungay Stanier",224,Editora," Michael Bungay StanierNegócios e Empreendedorismo " 
 1107,"O Grande Livro de Ciências do Manual do Mundo","MARI FULFARO",528,Sextante,"Educação / Não-ficção " 
 1108,"Mundo das Flores","Johanna Basford",80,Sextante,"Uma aventura exuberante espera por você!Artes / Bem estar e lazer / Literatura Estrangeira " 
 1109,"Mulheres não são chatas; mulheres estão exaustas","Ruth Manus",192,Sextante,"Ruth ManusLiteratura Brasileira / Não-ficção " 
 1110,"Falando com estranhos","Malcolm Gladwell",320,Sextante,"Literatura Estrangeira / Não-ficção " 
 1111,"Boxe 10 leituras essenciais","Harvard Business Review",1056,Sextante,"Literatura Estrangeira / Negócios e Empreendedorismo " 
 1112,"Enquanto eu respirar","Ana Michelle Soares",240,Sextante,"Drama / Literatura Brasileira / Não-ficção " 
 1113,"Palavras essenciais","PEMA CHÖDRÖN",176,Sextante,"EDEN STEINBERGLiteratura Estrangeira / Religião e Espiritualidade " 
 1114,"O Poder do Agora","Eckhart Tolle",144,Sextante,"Literatura Estrangeira / Religião e Espiritualidade " 
 1115,"Pais inteligentes enriquecem seus filhos","Gustavo Cerbasi",176,Sextante,"Literatura Brasileira / Negócios e Empreendedorismo " 
 1116,"O estilo startup","Eric Ries",368,Sextante,"Literatura Estrangeira / Negócios e Empreendedorismo " 
 1117,"Vender é humano","Daniel H. Pink",256,Sextante,"Administração / Literatura Estrangeira / Marketing e Publicidade / Negócios e Empreendedorismo " 
 1118,"Atitude empreendedora","Larry C. Farrell",352,Sextante,"Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo " 
 1119,"A história de Greta","Valentina Camerini",128,Sextante,"Infantojuvenil / Literatura Estrangeira " 
 1120,"O homem ideal","Max Tucker",368,Sextante,"Autoajuda / Literatura Estrangeira " 
 1121,"A virtude da raiva","Arun Gandhi",176,Sextante,"Literatura Estrangeira / Religião e Espiritualidade " 
 1122,"A Revelação","C. Baxter Kruger",256,Sextante,"Autoajuda / Religião e Espiritualidade " 
 1123,"CORAÇÃO: MANUAL DO PROPRIETÁRIO","Johannes Hinrich von Borstel",256,Sextante,"Autoajuda / Literatura Estrangeira / Medicina e Saúde " 
 1124,"O peso das dietas","Sophie Deram",256,Sextante,"Literatura Estrangeira / Medicina e Saúde " 
 1125,"A Mais Breve História da Europa","John Hirst",224,Sextante,"História / História Geral / Literatura Estrangeira " 
 1126,"A Coragem de não agradar","Ichiro Kishimi",272,Sextante,"Autoajuda / Literatura Estrangeira / Filosofia " 
 1127,"O Poder (The Secret)","Rhonda Byrne",272,Sextante,"  Rhonda ByrneAutoajuda / Literatura Estrangeira / Religião e Espiritualidade " 
 1128,"A ARTE DA MEDITAÇÃO","Daniel Goleman",112,Sextante,"Autoajuda / Literatura Estrangeira / Religião e Espiritualidade " 
 1129,"A CAMINHO DE MARTE","Ivair Gontijo",288,Sextante,"Biografia, Autobiografia, Memórias / Literatura Brasileira / Não-ficção " 
 1130,"BELA MATERNIDADE","Bela Gil",256,Sextante,"Bem estar e lazer / Biografia, Autobiografia, Memórias / Medicina e Saúde / Não-ficção " 
 1131,Calma,"The School Of life",144,Sextante,"Não-ficção " 
 1132,Relacionamentos,"The School Of Life",128,Sextante,"Não-ficção " 
 1133,"As Cinco Pessoas que você Encontra no Céu","Mitch Albom",192,Sextante,"Autoajuda / Biografia, Autobiografia, Memórias / Drama / Esoterismo / Filosofia / Literatura Estrangeira / Psicologia / Religião e Espiritualidade / Romance / Sociologia " 
 1134,"O Prisioneiro","Anand Dílvar",112,Sextante,"Autoajuda " 
 1135,"Pipeline de Liderança","Ram Charan",272,Sextante,"Administração / Literatura Brasileira / Não-ficção / Negócios e Empreendedorismo " 
 1136,"Me Poupe!","Nathalia Arcuri",176,Editora,"Economia, Finanças / Literatura Brasileira / Educação / Negócios e Empreendedorismo " 
 1137,"Escrevi Isso Pra Você","Iain S. Thomas",208,Sextante,"Literatura Estrangeira / Poemas, poesias " 
 1138,Fitá,"Tenório Karla",40,Sextante,"Infantil / Literatura Brasileira " 
 1139,"Meu Filho Me Enlouquece!","Filliozat Isabelle",176,Sextante,"Autoajuda / Literatura Estrangeira " 
 1140,"Mindfulness Para Uma Vida Melhor","Elias Farah Eduardo",192,Sextante," Você também vai aprender a:· Reforçar sua capacidade de realização e administração do tempo· Fortalecer os relacionamentos por meio da empatia e da compaixão· Intensificar o vigor, o engajamento e a criatividade· Inspirar a inovação, a liderança, o trabalho em equipe e a éticaAutoajuda / Literatura Estrangeira " 
 1141,"Como chegar ao SIM","Bruce Patton",224,Sextante,"Administração / Literatura Estrangeira / Negócios e Empreendedorismo " 
 1142,"Poesia que transforma","Bráulio Bessa",192,Sextante,"Literatura Brasileira / Poemas, poesias " 
 1143,"A Alma Indomável","Michael A. Singer",208,Sextante,"Autoajuda / Literatura Estrangeira " 
 1144,"O que Nietzsche faria?","Marcus Weeks",240,Sextante,"Autoajuda / Literatura Estrangeira " 
 1145,"Celular; doce lar","Rosana Hermann",176,Sextante,"Comunicação / Humor, Comédia / Informática e Tecnologia / Literatura Brasileira / Não-ficção " 
 1146,"Culinária básica","Vigilantes do Peso",416,Editora,"Sinta-se no controle da sua alimentação!Culinária e Gastronomia / Literatura Brasileira / Não-ficção " 
 1147,"Livre Para Voar","Fábio Teruel",144,Editora," Então prepare-se para ir mais longe do que sempre sonhou!Fábio TeruelAutoajuda / Literatura Brasileira " 
 1148,"A Magia do Silêncio","Kankyo Tannier",160,Sextante,"""  CosmopolitanLiteratura Estrangeira / Religião e Espiritualidade " 
 1149,"Como lidar com a política no trabalho","Karen Dillion",176,Editora,"Administração / Literatura Estrangeira / Negócios e Empreendedorismo " 
 1150,"Apresentações convincentes","Nancy Duarte",208,Editora,"Administração / Literatura Brasileira / Negócios e Empreendedorismo " 
 1151,"Gerenciando pessoas","Harvard Business Review",224,Editora,"Este livro vai inspirar você a: adequar seu estilo de gestão à necessidade de seu pessoal motivar dando mais responsabilidade e não mais dinheiro ajudar os gestores e líderes de equipe de primeira viagem desenvolver confiança pedindo a opinião e a colaboraçãodos outros ensinar pessoas inteligentes a aprender com ospróprios erros desenvolver equipes de alta performance gerenciar o seu chefeAdministração / Literatura Estrangeira / Negócios e Empreendedorismo " 
 1152,"Por que o budismo funciona","Robert Wright",304,Sextante,""" ¿ Peter Singer, autor de Ética práticaLiteratura Estrangeira / Psicologia / Religião e Espiritualidade " 
 1153,"Amor sustentável","Lígia Guerra",208,Sextante,"Autoajuda / Literatura Estrangeira " 
 1154,"Comece pelo porquê","Simon Sinek",256,Editora,"""  WILLIAM URY, coautor de Como chegar ao sim PUBLICADO ANTERIORMENTE COM O TÍTULO POR QUÊ?Administração / Literatura Estrangeira / Negócios e Empreendedorismo " 
 1155,"Dúvida Cruel","Mariana Fulfaro",208,Editora,"Literatura Brasileira / Não-ficção " 
 1156,"A classe média no espelho","Jessé Souza",288,Estação,"Literatura Brasileira / Política " 
 1157,"Grandes pensadores","The School of Life",352,Editora,"Literatura Estrangeira " 
 1158,"Como se relacionar bem usando a Comunicação Não Violenta","Thomas d'Ansembourg",208,Editora,"Autoajuda / Literatura Estrangeira " 
 1159,"Cinco minutos por dia","Alex Ikonn",280,Editora," Em menos de cinco minutos por diaAutoajuda / Literatura Estrangeira " 
 1160,"Claude Troisgros: histórias; dicas e receitas","Claude Troisgros",320,Editora,"Bon appétit!Literatura Estrangeira / Não-ficção " 
 1161,"As Cinco Pessoas Que Você Encontra no Céu","Mitch Albom",192,Arqueiro,"EDIÇÃO EM CAPA DURAAutoajuda / Biografia, Autobiografia, Memórias / Esoterismo / Filosofia / Literatura Estrangeira / Psicologia / Religião e Espiritualidade / Romance / Sociologia / Drama " 
 1162,"As 8 leis espirituais da saúde","Rosa Tommy",240,Sextante,"Religião e Espiritualidade " 
 1163,Luigis,"Veronica Dobal",100,Sextante," E preciso explicar o porquê dessa longevidade?  Luciana FróesCulinária e Gastronomia " 
 1164,"Diário de um bárbaro covarde","Two Little Cowboys",96,Sextante,"Infantojuvenil / Jogos / Literatura Estrangeira " 
 1165,"Você pode falar com Deus","Pedro Siqueira",144,Sextante,"Literatura Brasileira / Religião e Espiritualidade " 
 1166,"O que eu sei de verdade","Oprah Winfrey",144,Sextante,"Autoajuda / Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção " 
 1167,"A Dieta Espiritual","Allan Percy",208,Sextante,"Autoajuda / Literatura Estrangeira " 
 1168,"A Cabana - Guia de Estudos","William P. Young",192,Sextante,"Literatura Estrangeira / Religião e Espiritualidade " 
 1169,"Escolha sua vida","Paula Abreu",144,Sextante,"Autoajuda / Literatura Brasileira " 
 1170,"A vida secreta das árvores","Peter Wohlleben",224,Sextante,"Literatura Estrangeira / Não-ficção " 
 1171,"Nate é um estouro","Lincoln Peirce",224,Sextante,"Infantil / Literatura Estrangeira " 
 1172,"Senhora dos ares","Pedro Siqueira",256,Sextante,"Literatura Brasileira / Religião e Espiritualidade " 
 1173,"O Livro Ilustrado dos Maus Argumentos","Ali Almossawi",64,Sextante," Indispensável para qualquer pessoa que cultive o hábito de ter uma opinião, este livro é um antídoto contra raciocínios fracosEducação / Literatura Estrangeira / Não-ficção " 
 1174,"A Morte Como Despertar","Rajiv Parti",240,Sextante,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção / Religião e Espiritualidade " 
 1175,"Shawn Mendes - Edição Especial para Fãs (Capa Dura)","Shawn Mendes",64,Sextante,"Biografia, Autobiografia, Memórias / Literatura Estrangeira " 
 1176,"Como Vencer Gigantes","William Douglas",192,Sextante,"Autoajuda / Literatura Brasileira " 
 1177,PRÉ-SUASÃO,"Robert Cialdini",288,Sextante,"Autoajuda / Literatura Estrangeira " 
 1178,"As Cinco Feridas Emocionais","Lise Bourbeau",176,Sextante,"Autoajuda / Literatura Estrangeira " 
 1179,"O que todo jovem talento precisa aprender","Bruce Tulgan",288,Sextante,"Administração / Literatura Estrangeira / Negócios e Empreendedorismo " 
 1180,"MARKETING 4.0","KARTAJAYA HERMAWAN",208,Sextante,"Administração / Literatura Estrangeira / Marketing e Publicidade / Negócios e Empreendedorismo " 
 1181,"Rebeldes têm asas","Rony Meisler",448,Sextante," Mil perdões, Rony!  Sergio PuglieseLiteratura Brasileira / Negócios e Empreendedorismo " 
 1182,"Pílulas de Bem-Estar","Daniel Martins de Barros",224,Sextante," E sem efeitos colateraisAutoajuda / Bem estar e lazer / Literatura Brasileira " 
 1183,"Poesia Reunida","Bruna Lombardi",384,Sextante,"Literatura Estrangeira / Poemas, poesias " 
 1184,"Se a Vida É Um Jogo; Aqui Estão as Regras.","C. Allan",288,Sextante,"Autoajuda / Literatura Estrangeira " 
 1185,"Atenção Plena Para Iniciantes","Jon Kabat-Zinn",176,Sextante,"Autoajuda / Literatura Estrangeira " 
 1186,"Trago seu amor de volta sem pedir nada em troca","Ique Carvalho",240,Sextante,"Crônicas / Literatura Brasileira / Romance " 
 1187,"A Morte na Visão do Espiritismo","Alexandre Caldini Neto",224,Sextante," De forma clara e delicada, Caldini desvenda os princípios básicos do espiritismo e esclarece as principais dúvidas sobre a morte e outros temas relacionados: Por que tememos a morte? O que acontece no momento em que morremos? Sofremos? Ao morrer, para onde vamos? Reencontraremos os que amamos e já morreram? O que diz o espiritismo sobre eutanásia, aborto e suicídio? Existe morte prematura? Como lidar com a dor da culpa, do remorso e da saudade? É adequado pedir mensagem daquele que morreu? Como rezar para quem morreu? Como consolar alguém pela morte da pessoa amada?Literatura Brasileira / Religião e Espiritualidade " 
 1188,"O Homem Mais Feliz da História","Augusto Cury",336,Sextante,"Autoajuda / Literatura Brasileira " 
 1189,"PRIMEIRO O MAIS IMPORTANTE","Stephen Covey ",416,Sextante," Michael Hammer, coautor de Mais rápido, barato e melhorAdministração / Literatura Estrangeira / Negócios e Empreendedorismo " 
 1190,"Eu Maior","Fernando Schultz",272,Sextante,"Literatura Brasileira / Religião e Espiritualidade " 
 1191,"O Yoga que Conduz à Plenitude","Gloria Arieira",304,Sextante,"Literatura Brasileira / Religião e Espiritualidade " 
 1192,"A Transição Para o Oceano Azul","Chan Kim W",288,Sextante,"Administração / Literatura Estrangeira / Negócios e Empreendedorismo " 
 1193,"A Boa Sorte","Fernando Trías de Bes",128,Sextante,"Autoajuda " 
 1194,"A melhor dieta para você ","Caroline Jones",176,Sextante,"Veja algumas dúvidas comuns que a autora irá esclarecer de uma vez por todas: Eliminar os carboidratos da alimentação é prejudicial para o organismo? Uma dieta rica em proteínas pode causar o aumento do colesterol e do risco de doenças cardíacas? É necessário fazer exercícios físicos junto com a dieta para perder peso? O efeito sanfona é um risco previsto em todos os regimes de resultados rápidos? O segredo para o emagrecimento é apenas ingerir menos calorias do que se queima? Os alimentos com baixo índice glicêmico são necessariamente mais saudáveis?Culinária e Gastronomia " 
 1195,"Paraíso tropical","Millie Marotta",96,Sextante,"Artes " 
 1196,"Diário de um Zumbi do Minecraft ","Herobrine Books",96,Editora,"NESTE VOLUME, DESCUBRA O VERDADEIRO NOME DO ZUMBI!Infantil / Infantojuvenil / Jogos " 
 1197,"Minha vida anticâncer","Odile Fernández Martínez ",432,Sextante,"Autoajuda / Medicina e Saúde " 
 1198,"O Turista Interior","Allan Percy",192,Sextante,"Autoajuda " 
 1199,"A divina sabedoria dos mestres","Brian Weiss",208,Sextante," - Brian WeissReligião e Espiritualidade " 
 1200,PSI-Q,"Ben Ambridge",272,Sextante,"Autoajuda / Jogos " 
 1201,"10% Humano","Alanna Collen",288,Sextante,"Biologia " 
 1202,Metanoia,"Roberto Adami Tranjan",192,Sextante,"Administração / Negócios e Empreendedorismo " 
 1203,"O ponto de equilíbrio","Christine Carter",256,Sextante,"Autoajuda " 
 1204,"Assim se pariu o Brasil","Pedro Almeida Vieira",320,Sextante,"Não-ficção " 
 1205,Animorphia,"Kerby Rosanes",96,Sextante," Pegue suas canetas, seus lápis de cor e dê asas à imaginação nesta aventura surreal!Artes " 
 1206,"O Poder do Silêncio","Eckhart Tolle",80,Sextante,"Autoajuda / Psicologia / Religião e Espiritualidade " 
 1207,"Diário de um Zumbi do Minecraft","Herobrine Books",114,Sextante," O temível monstro de comida do refeitório pode estar atrás de você! Neste volume: o maior segredo do creepy é revelado! Infantil / Infantojuvenil " 
 1208,"Chega de Açúcar","Sarah Wilson",224,Sextante,"Bem estar e lazer / Culinária e Gastronomia / Medicina e Saúde " 
 1209,"Peça e será atendido",Abraham-Hicks,224,Sextante,"Religião e Espiritualidade " 
 1210,"O Último Sopro de Vida","Paul Kalanithi",176,Sextante,"Biografia, Autobiografia, Memórias " 
 1211,"Mais Forte do que Nunca","Brené Brown",272,Sextante," Autoajuda / Bem estar e lazer " 
 1212,"Lava Jato ","Vladimir Netto",372,Primeira," Literatura Brasileira / Não-ficção / Política / Comunicação " 
 1213,"Ganhar; Gastar; Investir","Denise Damiani",256,Sextante,"Negócios e Empreendedorismo " 
 1214,"Pequenos passos para mudar sua vida","Robert Maurer Ph.D.",160,Sextante,"Autoajuda " 
 1215,"O MBA da vida real","Jack Welch",224,Sextante," Administração / Negócios e Empreendedorismo " 
 1216,"Isso me traz alegria","Marie Kondo",272,Sextante,"Autoajuda " 
 1217,"Mudando o tom da conversa","Dana Caspersen",272,Sextante,"Negócios e Empreendedorismo " 
 1218,Blink,"Malcolm Gladwell",240,Sextante,"Não-ficção " 
 1219,"Um coração sem medo","Thupten Jinpa",224,Sextante,"  Sua Santidade, o Dalai LamaReligião e Espiritualidade " 
 1220,"Faça você mesmo","Caio Novaes",240,Sextante," Deixe aflorar o cozinheiro que mora em você e compartilhe as fotos dos seus pratos nas redes sociais, marcando-as com a hashtag #anamariabrogui!Não-ficção " 
 1221,"A arte de fazer acontecer","David Allen",353,Sextante,"Negócios e Empreendedorismo / Administração / Autoajuda / Não-ficção / Marketing e Publicidade / Bem estar e lazer " 
 1222,"No Meio do Caminho Tinha Um Amor","Matheus Rocha",176,Sextante," E, sem nem saber como, no meio do caminho avistamos novamente o amor  e a certeza de um novo começo!Crônicas / Literatura Brasileira " 
 1223,"Eu sou as escolhas que faço","Elle Luna",176,Sextante,"Autoajuda / Bem estar e lazer " 
 1224,"A Vida Ama Você","Louise Hay",176,Sextante,"Autoajuda / Religião e Espiritualidade " 
 1225,"The Beatles","Steve Turner",353,Sextante,"Biografia, Autobiografia, Memórias / Música " 
 1226,"Conselhos para um jovem príncipe","Príncipe Alexi Lubomirski",120,Sextante,"Não-ficção " 
 1227,"Diário de um zumbi do Minecraft","Zack Zombie",112,Sextante,"Será que eles vão conseguir sobreviver à maior aventura de suas vidas?NESTE VOLUME: CUIDADO COM O PERIGOSO JOE DAS MINAS!Infantojuvenil " 
 1228,"Selva Mágica","Johanna Basford",88,Sextante,"Artes / Bem estar e lazer / Entretenimento " 
 1229,"Salsichas Galácticas","Max Brallier",304,Sextante,"Aventura / Humor, Comédia / Infantil / Infantojuvenil " 
 1230,"Salsichas Galácticas","Max Brallier",288,Sextante," Mas em pouco tempo Cosmo e seus amigos percebem que estão correndo sério perigo  e não estamos falando dos monstros terríveis que eles precisam enfrentar no ringue! Será que vão conseguir salvar a própria pele e ainda vender suas salsichas?Aventura / Infantil " 
 1231,"Platão para Sonhadores","Allan Percy",176,Sextante,"Autoajuda " 
 1232,"A História Secreta da Criatividade","Kevin Ashton",288,Sextante,"Administração / Negócios e Empreendedorismo " 
 1233,"Liderar com o Coração","Mike Krzyzewski",144,Sextante,"Autoajuda " 
 1234,"Muito Amor; Por Favor","Fred Elboni",240,Sextante,"Autoajuda " 
 1235,"Praticando o Poder do Agora","Eckhart Tolle",144,Sextante,"Religião e Espiritualidade " 
 1236,"Se meu cachorro falasse","Cynthia L. Copeland",176,Sextante," Verdadeiros filósofos de quatro patas, eles nos mostram que cada dia é uma dádiva  e que cada refeição é a melhor de todas!Autoajuda " 
 1237,"30 dias para mudar  The Whole30","Melissa Hartwig",416,Sextante,"Medicina e Saúde " 
 1238,"A coragem de ser imperfeito","Brené Brown",208,Sextante,"Autoajuda / Não-ficção / Negócios e Empreendedorismo / Psicologia " 
 1239,"A maior de todas as mágicas","James R. Doty",240,Sextante,"Religião e Espiritualidade " 
 1240,"Diário de Um Zumbi do Minecraft","Zombie Zack",144,Sextante,"Além de ter que sobreviver a um concurso de soletrar e ao temível professor Matsumoto, nosso zumbi preferido terá um desafio muito especial: se conseguir irar nota 7 em todas as matérias, vai ganhar um video game novinho em folha!Só tem um detalhe: como o zumbi vai conseguir tirar uma nota boa na aula intermediária de susto com aquela carinha inofensiva dele?NESTE VOLUME: O ZUMBI VAI FICAR MONSTRUOSO!Infantojuvenil " 
 1241,"O Homem mais inteligente da História","Augusto Cury",272,Sextante,"Literatura Brasileira / Religião e Espiritualidade / Romance " 
 1242,"Todo mundo tem um anjo da guarda","Pedro Siqueira",160,Sextante,"Religião e Espiritualidade " 
 1243,"O Poder da Presença","Cuddy Amy",256,Sextante,"Bem estar e lazer / Esportes / Medicina e Saúde " 
 1244,"O Livro da Vida - Nova Versão Transformadora","Vários Autores",1520,Sextante,"Religião e Espiritualidade " 
 1245,"101 Canções que Tocaram o Brasil","Nelson Motta",224,Sextante,"Música / Não-ficção " 
 1246,"Ouse Crescer","Tara Mohr",240,Sextante,"ver maisAutoajuda / Literatura Estrangeira / Negócios e Empreendedorismo " 
 1247,"As Cores do Natal","Johanna Basford",80,Sextante,"Bem estar e lazer " 
 1248,"Como o Segredo Mudou Minha Vida","Rhonda Byrne",272,Sextante,"Autoajuda / Literatura Estrangeira " 
 1249,"Atenção plena em poucas palavras","Patrizia Collard",96,Sextante,"Autoajuda " 
 1250,"A marca da vitória","Phil Knight",384,Sextante,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Administração " 
 1251,"Flor do Dia","Sri Prem Baba",152,Sextante,"Autoajuda / Literatura Brasileira / Religião e Espiritualidade " 
 1252,Propósito,"Sri Prem Baba",160,Sextante,"Literatura Brasileira / Religião e Espiritualidade " 
 1253,"Pokémon Extreme","Venom Extreme",208,Sextante,"Infantojuvenil / Jogos / Literatura Estrangeira " 
 1254,"Uma casa no meio do caminho","Barry Martin",235,Sextante,"Literatura Estrangeira / Não-ficção / Biografia, Autobiografia, Memórias " 
 1255,"Como enfrentar a violência verbal","Patricia Evans",256,Sextante," " 
 1256,"O Monge e o Executivo","James C. Hunter",144,Sextante,"Administração / Autoajuda / Negócios e Empreendedorismo " 
 1257,"Como reconquistar seu ex","Paula Cassim",112,Sextante,"Autoajuda " 
 1258,"O caminho para a liberdade financeira","Bodo Schäfer",240,Sextante," " 
 1259,"O código da inteligência","Augusto Cury",256,Sextante,"Autoajuda " 
 1260,"Tudo sobre Arquitetura","Denna Jones",576,Sextante," Arquitetura e Decoração " 
 1261,"Produtividade máxima","Tamara Schwambach Kano Myles",192,Sextante," " 
 1262,"O Jogo das Perguntas","Gregory Stock Ph.D.",192,Sextante,"Autoajuda " 
 1263,"Quarentena amorosa","Angela Brandão",192,Sextante," " 
 1264,"Como vencer quando você não é o favorito","Rubens Teixeira",192,Sextante,"Rubens Teixeira " 
 1265,"Jornada do espírito","James Van Praagh",176,Sextante,"Religião e Espiritualidade " 
 1266,"O poder do fracasso","Sarah Lewis",256,Sextante," " 
 1267,"A identidade da alma","Panache Desai",224,Sextante," " 
 1268,"Os últimos passos de Jesus","Bill O'Reilly",256,Sextante,"Não-ficção " 
 1269,"Como chegar ao sim com você mesmo","William Ury",144,Sextante," " 
 1270,"A Mágica da Arrumação","Marie Kondo",160,Sextante,"Almanaques / Autoajuda / Literatura Estrangeira " 
 1271,"Os 27 Desafios Que Todo Chefe Deve Enfrentar","Bruce Tulgan",240,Sextante," " 
 1272,Essencialismo,"Greg McKeown",272,Sextante,"Administração / Autoajuda / Negócios e Empreendedorismo " 
 1273,"75 Hábitos dos casais felizes ","Ashley Davis Bush",224,Sextante," " 
 1274,"O Segredo","Rhonda Byrne",216,Sextante,"  retirado do PrefácioAutoajuda " 
 1275,"Reino Animal","Millie Marotta",96,GMT,"Literatura Estrangeira " 
 1276,"Como convencer as pessoas a fazer o que você quer","Susan M. Weinschenk",240,Sextante,"Autoajuda " 
 1277,"A felicidade está nas pequenas coisas","Haim Shapira",160,Editora,"Autoajuda " 
 1278,"Segredos de Paris","Zoé de Las Cases",96,Editora," Artes " 
 1279,Gatomania,Mesdemoiselles,96,Editora,"Fuja do estresse, relaxe e divirta-se com a Gatomania!Artes " 
 1280,"Mandalas: Cores Criativas","Valentina Harper",72,Sextante," " 
 1281,"Animais: Cores Criativas","Valentina Harper",72,Sextante," Pegue seu material, abuseda criatividade e diga adeus ao estresse! " 
 1282,"Oceano Perdido","Johanna Basford",80,Sextante,"Artes / Bem estar e lazer " 
 1283,"10% Mais Feliz ","Dan Harris",224,Sextante,"Autoajuda " 
 1284,"Segredos Do Japão","Zoe De Las Cases",96,Sextante,"Autoajuda " 
 1285,"Segredos de Nova York","Zoe De Las Cases",96,Sextante,"Autoajuda " 
 1286,"O Feitiço Do Tempo","Daria Song",84,Sextante,"Artes / Bem estar e lazer " 
 1287,Super-Humanos,"Steven Kotler",256,Sextante,"Não-ficção " 
 1288,"Eu Posso Fazer Você Feliz","Paul McKenna",144,Editora,"Autoajuda " 
 1289,"100 dicas simples para prevenir o Alzheimer","Jean Carper",288,Editora,"Medicina e Saúde " 
 1290,"A Mão no Espelho","Janis Heaphy Durham",256,Editora,"Religião e Espiritualidade " 
 1291,"Como organizar sua vida financeira","Gustavo Cerbasi",160,Editora,"Após traçar seu perfil de consumo e investimento, você poderá passar para os tópicos mais específicos, dominando de uma vez por todas os assuntos que sempre considerou complexos, tais como: Como fazer a Declaração do Imposto de Renda Qual é a melhor maneira de administrar as dívidas Como utilizar o crédito a seu favor Quando vale a pena fazer seguros Quais são os melhores investimentosNegócios e Empreendedorismo " 
 1292,"Nunca Desista de Seus Sonhos","Augusto Cury",160,Editora,"Autoajuda " 
 1293,Mulheres,"Carol Rossetti",160,Editora,"Não-ficção / Artes " 
 1294,"Diário de um Zumbi do Minecraft","Herobrine Books",96,Editora,"Infantil " 
 1295,"Salsichas Galácticas","Max Brallier",304,Sextante," (Na verdade, sou um cara incrível!)Humor, Comédia / Aventura / Infantojuvenil / Infantil " 
 1296,"Como Adam Smith Pode Mudar Sua Vida","Russ Roberts",192,Sextante,"Autoajuda " 
 1297,"Einstein Para Distraídos","Allan Percy",176,Sextante,"  Uma vez por dia, dê a si mesmo a liberdade de sonharAutoajuda / Didáticos / Técnico " 
