index,titulo,autor,n_pags,editora,genero 
 48,"A Dança da Água","Ta-Nehisi Coates",400,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 49,"A Casa Holandesa","Ann Patchett",352,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 50,"Os Dois Mundos de Isabel","Daniela Arbex",304,Intrínseca,"FLÁVIA OLIVEIRABiografia, Autobiografia, Memórias / Literatura Brasileira / Não-ficção " 
 51,"Cartas para Martin","Nic Stone",256,Intrínseca,"Ficção / Jovem adulto / Literatura Estrangeira / Romance " 
 52,"A dança da água","Ta-Nehisi Coates",400,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 53,Adultos," Emma Jane Unsworth ",400,Intrínseca,"Drama / Humor, Comédia / Romance / Ficção / Literatura Estrangeira " 
 54,"Piano Mecânico","Kurt Vonnegut",496,Intrínseca,"Distopia / Ficção / Ficção científica / Literatura Estrangeira " 
 55,"Amor & Sorte","Jenna Evans Welch",272,Intrínseca,"Ficção / Jovem adulto / Literatura Estrangeira / Romance " 
 56,"Amor & Sorte","Jenna Evans Welch",272,Intrínseca,"Ficção / Jovem adulto / Literatura Estrangeira / Romance " 
 57,"A Regra é Não Ter Regras","Reed Hastings",352,Intrínseca,"História / Literatura Estrangeira / Não-ficção " 
 58,"Árvore dos Desejos","K. A. Applegate",224,Intrínseca,"Ficção / Infantojuvenil / Literatura Estrangeira " 
 59,"A troca","Beth O'Leary",352,Intrínseca,"Chick-lit / Romance / Literatura Estrangeira " 
 60,"A Troca","Beth O'Leary",352,Intrínseca," De volta a Londres, Eileen é um grande sucesso com seus novos vizinhos, mas será que seu par perfeito está mais perto de casa do que ela pensava?Chick-lit / Ficção / Romance " 
 61,"A Caminho da Guerra","Graham Allison",416,Intrínseca,"Economia, Finanças / História / Literatura Estrangeira / Política " 
 62,"Nada Ortodoxa","Deborah Feldman",304,Intrínseca,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção " 
 63,Ruptura,"Monica de Bolle",320,Intrínseca,"Literatura Brasileira / Não-ficção " 
 64,"Cercado de Idiotas","THOMAS ERIKSON",304,Intrínseca,"Autoajuda / Literatura Estrangeira / Não-ficção " 
 65,"Box Neil Gaiman","NEIL GAIMAN",1240,Intrinseca,"Fantasia / Ficção / Ficção científica / Horror / Literatura Estrangeira " 
 66,"A Torre de Nero","Rick Riordan",336,Intrínseca,"Aventura / Fantasia / Infantojuvenil / Jovem adulto / Literatura Estrangeira " 
 67,"Quase uma Rockstar","Matthew Quick",256,Intrínseca," Publishers WeeklyLiteratura Estrangeira " 
 68,"Promessa de Pai","Joe Biden",256,Intrínseca,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Política " 
 69,Shine,"Jessica Jung",368,Intrínseca,"Jovem adulto / Literatura Estrangeira / Romance " 
 70,"O Refúgio","Mick Kitson",320,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 71,"Estas Verdades","Jill Lepore",1072,Intrínseca,"História / Literatura Estrangeira / Não-ficção " 
 72,Adultos," Emma Jane Unsworth ",400,Intrínseca,"Drama / Ficção / Humor, Comédia / Literatura Estrangeira / Romance " 
 73,Pachinko,"Min Jin Lee",528,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 74,"A Troca","Beth O'Leary",352,Intrínseca,"Chick-lit / Ficção / Romance " 
 75,"A cachorra","Pilar Quintana",160,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 76,"Vamos Sonhar Juntos","Papa Francisco",144,Intrínseca,"Literatura Brasileira / Não-ficção / Religião e Espiritualidade " 
 77,"O Esplêndido e o Vil","Erik Larson",324,Intrínseca,"Biografia, Autobiografia, Memórias / História / Literatura Estrangeira / Não-ficção / Política / Romance policial " 
 78,"Mataram Marielle","Chico Otávio",224,Intrínseca,"Literatura Brasileira / Não-ficção " 
 79,"Royal City: Segredos em família","Jeff Lemire",160,Intrínseca,"Ficção / HQ, comics, mangá / Literatura Estrangeira " 
 80,"O Retorno","Nicholas Sparks",288,Arqueiro,"Ficção / Romance " 
 81,"Princípios do Estrategista","Felipe Miranda",320,Intrínseca,"Economia, Finanças / Literatura Brasileira / Negócios e Empreendedorismo " 
 82,"Nada Ortodoxa","Deborah Feldman",304,Intrínseca,"Ficção " 
 83,"Alexander Hamilton"," Ron Chernow ",896,Intrínseca,"Biografia, Autobiografia, Memórias / História / Literatura Estrangeira / Não-ficção " 
 84,"Box Five Nights at Freddys (Trilogia Completa)","Scott Cawthon",992,Intrínseca,"Jogos / Jovem adulto / Literatura Estrangeira " 
 85,"BOX NÃO SE APEGA; NÃO","ISABELA FREITAS",1500,Intrínseca,"Jovem adulto / Literatura Brasileira / Não-ficção " 
 86,"Não é errado ser feliz","Linda Holmes",304,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 87,"Não é errado ser feliz","Linda Holmes",304,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 88,"A Segunda Vida de Missy","Beth Morrey",304,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 89,"Quarenta e Quatro em Quarentena","Miguel Pinto Guimarães",624,Intrínseca,"Entretenimento / Literatura Brasileira / Não-ficção " 
 90,Pachinko,"Min Jin Lee",528,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 91,"Em Águas Profundas","Patricia Highsmith",304,Intrínseca,"Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério " 
 92,"A troca","Beth O'Leary",352,Intrínseca,"Chick-lit / Literatura Estrangeira / Romance " 
 93,"O Enigma do Quarto 622","Joël Dicker",526,Intrínseca,"Crime / Ficção / Romance policial / Suspense e Mistério " 
 94,"O Desaparecimento de Stephanie Mailer","Joël Dicker",578,Intrínseca,"O que aconteceu a Stephanie Mailer?E o que aconteceu realmente no Verão de 1994?Crime / Literatura Estrangeira / Romance policial / Suspense e Mistério " 
 95,Misbehaving,"Richard H. Thaler",448,Intrínseca,"Economia, Finanças / Psicologia " 
 96,"O verão que mudou minha vida","Jenny Han",240,Intrínseca,"Literatura Estrangeira / Romance " 
 97,"Sem você não é verão","Jenny Han",240,Intrínseca,"Literatura Estrangeira / Romance " 
 98,"Sempre teremos o verão","Jenny Han",256,Intrínseca,"Literatura Estrangeira / Romance " 
 99,Misbehaving,"Richard H. Thaler ",448,Intrínseca,"Ensaios / Não-ficção " 
 100,"Boy Erased","Garrard Conley",320,Intrínseca,"Biografia, Autobiografia, Memórias / Literatura Estrangeira " 
 101,"Boy Erased: Uma verdade anulada","Garrard Conley",320,Intrínseca,"Biografia, Autobiografia, Memórias / Literatura Estrangeira " 
 102,"Os prós e os contras de nunca esquecer","Val Emmich",320,Intrínseca,"Literatura Estrangeira / Música / Romance " 
 103,"O Quinto Risco","Michael Lewis",192,Intrínseca,"Não-ficção " 
 104,"Holocausto Brasileiro","Daniela Arbex",280,Intrínseca,"Literatura Brasileira / Não-ficção " 
 105,"Você nasceu para isso","Michelle Sacks",272,Intrínseca,"Literatura Estrangeira / Romance " 
 106,"Nove Desconhecidos","Liane Moriarty ",464,Intrínseca,"Romance / Chick-lit / Literatura Estrangeira " 
 107,"O Que Aconteceu Com Annie","C.J. Tudor",288,Intrínseca,"Ficção / Literatura Estrangeira / Suspense e Mistério " 
 108,"As Crônicas de Âmbar","Roger Zezlany",784,Intrínseca,"Aventura / Fantasia " 
 109,"Matadouro Cinco","Kurt Vonnegut",288,Intrínseca,"Ficção / Literatura Estrangeira / Romance / Ficção científica " 
 110,"Mundo em Caos","Patrick Ness",480,Intrínseca,"Distopia / Fantasia / Ficção científica / Jovem adulto / Literatura Estrangeira " 
 111,"Faça Tempo","Jake Knapp",304,Intrínseca,"Autoajuda / Literatura Estrangeira / Negócios e Empreendedorismo " 
 112,"O Caso da Mansão Deboën","Edgar Cantero",352,Intrínseca,"Ficção / Literatura Estrangeira / Suspense e Mistério " 
 113,"Ainda Sou Eu","Jojo Moyes",320,Intrínseca,"Drama / Ficção / Literatura Estrangeira / Romance " 
 114,"Areia Movediça","Malin Persson Giolito",352,Intrínseca,"Crime / Literatura Estrangeira / Suspense e Mistério " 
 115,"F*deu Geral: Um Livro Sobre Esperança?","Mark Manson",288,Intrínseca,"Um passeio inusitado e divertido pela dor em nossos corações e o estresse em nossas vidasAutoajuda / Não-ficção " 
 116,"A vida não é justa","Andréa Pachá",224,Intrínseca,"Ao narrar casos de separações, guarda dos filhos, partilhas de bens, paternidade, histórias de amor, reencontros e desencontros, a obra explora situações em que é difícil definir o responsável: o que sentem os casais que testemunham, impotentes, o fim da pró pria relação; como partilhar os bens quando não há mais amor para ser dividido; é possível tentar mais uma vez depois que a confiança, antes tão firme, parece escorrer por entre os dedos?Crônicas / Literatura Brasileira " 
 117,"Nove Desconhecidos","Liane Moriarty ",464,Intrínseca,"Chick-lit / Literatura Estrangeira / Romance " 
 118,"Tempo de Luz","Whitney Scharer",384,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 119,"Oblivion Song: Canção do Silêncio","Robert Kirkman",144,Intrínseca,"HQ, comics, mangá / Literatura Estrangeira " 
 120,"Só Pode Ser Brincadeira; Sr. Feynman!","Richard Feynman",400,Intrínseca,"Educação / Literatura Estrangeira " 
 121,Ponti,"Sharlene Teo",274,Intrínseca,"Ficção / Literatura Estrangeira " 
 122,"Bird Box: Caixa de Pássaros","Josh Malerman",320,Intrínseca,"Horror / Literatura Estrangeira " 
 123,"Black Hammer","Jeff Lemire",136,Intrínseca,"Drama / Fantasia / Ficção científica / HQ, comics, mangá / Literatura Estrangeira " 
 124,Mister,"E.L. James",432,Intrínseca,"Erótico / Ficção / Literatura Estrangeira / Romance " 
 125,"A Pena e a Lei","Ariano Suassuna",184,Nova,"Drama / Ficção / Literatura Brasileira " 
 126,"O que Aconteceu com Annie","C.J. Tudor",288,Intrínseca,"Ficção / Literatura Estrangeira / Suspense e Mistério " 
 127,"Why Not","Raquel Landim",432,Intrínseca,"Não-ficção " 
 128,"Raízes do Mal","Gwenda Bond",304,Intrínseca,"Ficção científica / Suspense e Mistério " 
 129,"Um Lugar Bem Longe Daqui","Delia Owens",336,Intrínseca,"Drama / Ficção / Literatura Estrangeira " 
 130,"Um Lugar Bem Longe Daqui","Delia Owens",336,Intrínseca,"Drama / Ficção / Literatura Estrangeira " 
 131,"Noite em Caracas","Karina Sainz Borgo",240,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 132,"Este é o mar","Mariana Enriquez",176,Intrínseca,"Ficção / Literatura Estrangeira / Música " 
 133,Ponti,"Sharlene Teo",272,Intrínseca,"Ficção / Literatura Estrangeira " 
 134,"130 anos: Em busca da República","Alexandre de Moraes",256,Intrínseca,"Ensaios / História do Brasil / Literatura Brasileira / Não-ficção " 
 135,"Daqui Pra Baixo","Jason Reynolds",320,Intrínseca,"Drama / Jovem adulto / Literatura Estrangeira / Poemas, poesias " 
 136,"As Férias da Minha Vida","Clara Savelli",336,Intrínseca,"Ficção / Jovem adulto / Literatura Brasileira / Romance " 
 137,"Bird Box: Caixa de Pássaros","Josh Malerman",320,Intrínseca,"Ficção / Horror / Literatura Estrangeira / Romance / Romance policial / Suspense e Mistério " 
 138,"O Labirinto do Fauno","Cornelia Maria Funke",320,Intrínseca,"Fantasia / Ficção / Literatura Estrangeira " 
 139,"Medicina dos Horrores","Lindsey Fitzharris",320,Intrínseca,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Medicina e Saúde / Não-ficção " 
 140,"Mundo Em Caos (Vol. 1)","Patrick Ness",0,Intrínseca," " 
 141,"O desaparecimento de Josef Mengele"," Olivier Guez ",224,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 142,Pátria,"Fernando Aramburu",512,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 143,Pátria,"Fernando Aramburu",512,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 144,"Contato de Emergência","Mary H.K. Choi",336,Intrínseca,"Ficção / Humor, Comédia / Jovem adulto / Literatura Estrangeira / Romance " 
 145,"Teto Para Dois","Beth O'Leary",400,Intrínseca," Mas será que essa solução aparentemente perfeita resiste a um ex-namorado obsessivo, uma namorada ciumenta, um irmão encrencado, dois empregos exigentes e alguns amigos superprotetores?Ficção / Humor, Comédia / Literatura Estrangeira / Romance " 
 146,"Caçadores de Nazistas","Andrew Nagorski",432,Intrínseca,"Biografia, Autobiografia, Memórias / História / Literatura Estrangeira / Não-ficção " 
 147,"Pare Com Essa Merda","Gary John Bishop",208,Intrínseca,"Autoajuda / Literatura Estrangeira / Não-ficção " 
 148,Inspeção,"Josh Malerman",416,Intrínseca,"Ficção / Literatura Estrangeira / Suspense e Mistério " 
 149,Serpentário,"Felipe Castilho",368,Intrínseca,"Fantasia / Ficção científica / Horror / Literatura Brasileira " 
 150,"Rede de Sussurros","Chandler Baker",384,Intrínseca,"Ficção / Literatura Estrangeira / Romance / Suspense e Mistério " 
 151,Agassi,"Andre Agassi",448,Intrínseca,"Biografia, Autobiografia, Memórias / Esportes / Literatura Estrangeira " 
 152,"O Construtor de Pontes","Markus Zusak",572,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 153,"Medicina Dos Horrores","Lindsey Fitzharris",320,Intrínseca,"Medicina e Saúde " 
 154,"Um Caminho Para a Liberdade","Jojo Moyes",368,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 155,Cem,"Valerio Vidali ",208,Intrínseca,"Ficção / Literatura Estrangeira " 
 156,"Cova 312","Daniela Arbex",336,Intrínseca,"Biografia, Autobiografia, Memórias / História do Brasil / Literatura Brasileira / Não-ficção " 
 157,"Histórias das Histórias que Contei","Vinícius Dônola",328,Intrínseca,"Biografia, Autobiografia, Memórias / Literatura Brasileira / Não-ficção " 
 158,"A Tumba do Tirano","Rick Riordan",368,Intrínseca,"Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira " 
 159,"Rede de Sussurros","Chandler Baker",384,Intrínseca," Ficção / Literatura Estrangeira / Romance / Suspense e Mistério " 
 160,"Tim Cook: O Gênio que Mudou o Futuro da Apple","Leander Kahney",336,Intrínseca,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo " 
 161,"Me Encontre"," André Aciman ",272,Intrínseca,"Ficção / LGBT / GLS / Literatura Estrangeira / Romance " 
 162,"Um Caminho Para a Liberdade","Jojo Moyes",368,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 163,"Descender: Estrelas de Lata","Jeff Lemire",144,Intrínseca,"Ficção científica / HQ, comics, mangá / Literatura Estrangeira " 
 164,"Ada Batista; Cientista","Andrea Beaty",32,Intrínseca,"Outros títulos da coleçãoPaulo Roberto, arquiteto; Rita Bandeira, engenheira; Sofia Pimenta, futura presidentaInfantil / Literatura Estrangeira " 
 165,"Café Da Manhã Dos Campeões","Kurt Vonnegut",400,Intrínseca,"Ficção / Literatura Estrangeira " 
